task,layer,param,r2_mean,r2_std
strike,16,surface_dynamic_friction,-1.2359237909317016,0.290882190373472
strike,16,object_0_restitution,-1.2488710641860963,0.45595436154856944
strike,17,object_0_mass,-1.5788777828216554,0.854116357276937
strike,17,object_0_static_friction,-0.21585310697555543,0.4251466962690032
strike,17,object_0_dynamic_friction,-0.7755601644515991,0.5876666760870727
strike,17,surface_static_friction,-2.015816497802734,0.7878006890478174
strike,17,surface_dynamic_friction,-1.191024947166443,0.4135980802790244
strike,17,object_0_restitution,-1.3325343132019043,0.19039837730652706
strike,18,object_0_mass,-1.6915174007415772,0.9610256331219327
strike,18,object_0_static_friction,-0.3439920663833618,0.4052332911037606
strike,18,object_0_dynamic_friction,-0.7851487874984742,0.6658914797733556
strike,18,surface_static_friction,-1.5849334239959716,0.3127511652475278
strike,18,surface_dynamic_friction,-1.3476048707962036,0.44903441373896785
strike,18,object_0_restitution,-1.3546077966690064,0.2493408583735935
strike,19,object_0_mass,-2.134131407737732,1.2798205394509068
strike,19,object_0_static_friction,-0.4140259027481079,0.49369866953420305
strike,19,object_0_dynamic_friction,-0.6170845031738281,0.6244609184768554
strike,19,surface_static_friction,-1.4271547555923463,0.2817766995384693
strike,19,surface_dynamic_friction,-1.0220819473266602,0.24771428268708304
strike,19,object_0_restitution,-1.427100658416748,0.2713827868574706
strike,20,object_0_mass,-1.514464020729065,0.8255930151043721
strike,20,object_0_static_friction,-0.33683477640151976,0.5475561357895562
strike,20,object_0_dynamic_friction,-0.5606442213058471,0.7359065410747904
strike,20,surface_static_friction,-1.572211003303528,0.531956816418861
strike,20,surface_dynamic_friction,-1.2026108503341675,0.20820495392750363
strike,20,object_0_restitution,-1.2624879837036134,0.14519116283039066
strike,21,object_0_mass,-1.8184723377227783,0.8697158386214499
strike,21,object_0_static_friction,-0.3909206748008728,0.5767635153897843
strike,21,object_0_dynamic_friction,-0.8095705032348632,0.7471139373963976
strike,21,surface_static_friction,-1.3146815538406371,0.3534980103350855
strike,21,surface_dynamic_friction,-1.9344669818878173,0.5874122245483567
strike,21,object_0_restitution,-1.5660158395767212,0.4983581404426511
strike,22,object_0_mass,-1.7954609155654908,1.2651857990848405
strike,22,object_0_static_friction,-0.3545254349708557,0.4877475811363208
strike,22,object_0_dynamic_friction,-0.591548502445221,0.8607689598421119
strike,22,surface_static_friction,-1.782613468170166,0.5087902926632272
strike,22,surface_dynamic_friction,-1.493534755706787,0.44620938612050587
strike,22,object_0_restitution,-0.9877808332443238,0.4657318376699286
strike,23,object_0_mass,-1.6323786973953247,0.9490975521356948
strike,23,object_0_static_friction,-0.474321711063385,0.768863823293138
strike,23,object_0_dynamic_friction,-0.7483748197555542,0.9617948055813951
strike,23,surface_static_friction,-1.4999312162399292,0.4101940318967745
strike,23,surface_dynamic_friction,-1.4221069812774658,0.32124555098288093
strike,23,object_0_restitution,-0.7721684455871582,0.5165963892971874
