task,layer,rsa_partial_acc,rsa_partial_ct
drawer,4,6.598985803780474e-05,0.029848701660931114
drawer,5,0.04072386936803543,0.027165563496804074
drawer,6,0.005393994089415379,0.02030431965558849
drawer,7,0.007358035835503015,0.02131821411027132
drawer,8,0.020438870346047126,0.01891710752140383
drawer,9,-0.018152271722655593,0.03656107776226268
drawer,10,-0.0012812281667735168,0.03563195711624069
drawer,11,-0.01085150704344022,0.030997498831453137
drawer,12,-0.014144596699429036,0.037669354987585967
drawer,13,0.009007089282626739,0.03811490656154042
drawer,14,0.0152753096691543,0.03802975951440195
drawer,15,0.05129519123889579,0.047353612326082005
drawer,16,0.07221922584664367,0.05247301084663165
drawer,17,0.06084505613076701,0.0493403849081335
drawer,18,0.061344309607602496,0.041662157927931986
drawer,19,0.0726562760736681,0.03307809908561252
drawer,20,0.04942770148078082,0.032170148394403894
drawer,21,0.06212398768397534,0.027225036918021136
drawer,22,0.0617184223572103,0.030660156029857263
drawer,23,0.037456427703733315,0.026470833182997932
peg_insert,0,-0.05787284484469576,-0.017468966218090243
peg_insert,1,0.03570700068549049,0.07713075067643299
peg_insert,2,0.05766720564302453,0.10699274126659611
peg_insert,3,0.06800706831244611,0.12628310645358765
peg_insert,4,0.0657933454571423,0.111686281973007
peg_insert,5,0.10452034930271266,0.1841442956612415
peg_insert,6,0.12907736024894578,0.197768883319426
peg_insert,7,0.13787441034734252,0.20569945812635138
peg_insert,8,0.13605648380156907,0.18791236565091496
peg_insert,9,0.1497747377077226,0.1992796671219215
peg_insert,10,0.14890349197201436,0.20649511054655664
peg_insert,11,0.14941066481808787,0.21429739029741698
peg_insert,12,0.14953270443226616,0.21652592216237246
peg_insert,13,0.16683540538156055,0.22307432571275723
peg_insert,14,0.16132480487723638,0.2227982138435243
peg_insert,15,0.16468238697830606,0.24087822759986757
peg_insert,16,0.15860236612937,0.23404140386319297
peg_insert,17,0.15830085624999607,0.23954095819263985
peg_insert,18,0.14678749934000057,0.2322043658300269
peg_insert,19,0.15731600263455806,0.2310952500487717
peg_insert,20,0.16187493366701053,0.23225557077914258
peg_insert,21,0.16623429260108688,0.23265841394742484
peg_insert,22,0.16598582083263216,0.24149458960821404
peg_insert,23,0.16178399537135896,0.2380831061885135
nut_thread,0,-0.025417902484565918,0.02536952886151065
nut_thread,1,-0.009932018977955344,0.03286015135481053
nut_thread,2,-0.014230361157759705,0.012542770904596262
nut_thread,3,0.00010541142450753169,0.01599924868337082
nut_thread,4,0.03172512578887713,0.01852580843194828
nut_thread,5,0.034641443692417784,0.014847293169980692
nut_thread,6,0.04199691566184639,0.02548851396793491
nut_thread,7,0.05315026508118588,0.010420449103316586
nut_thread,8,0.050946583074775106,0.0063900396510021785
nut_thread,9,0.061158623156003324,0.009541514064756637
nut_thread,10,0.06493542788269546,0.004278334865140478
nut_thread,11,0.06883084291128876,0.007956881642516043
nut_thread,12,0.059037133460861695,-0.001701726016848124
nut_thread,13,0.057131595897698145,0.008175799676786923
nut_thread,14,0.06659195138953083,0.019765652406703756
nut_thread,15,0.0641823069675036,0.020156323472842484
nut_thread,16,0.07238220206739991,0.027755691785175205
nut_thread,17,0.062321977913746565,0.028812309687214994
nut_thread,18,0.0655869070982343,0.021486068289978146
nut_thread,19,0.0820191443524867,0.025341338146336646
nut_thread,20,0.07714210953432811,0.027716551218087145
nut_thread,21,0.06056017846637415,0.03260420692356019
nut_thread,22,0.0601167213346047,0.03292230221921179
nut_thread,23,0.049725802639442054,0.01839023547789249
