task,layer,tau,metric,mean,sem,n
push,0,-3,pr,1.4084359566370646,0.039483530915442405,30
push,0,-2,pr,1.4075242598851523,0.0433904026905144,30
push,0,-1,pr,1.415826133886973,0.04643296446774457,30
push,0,0,pr,1.4273695389429728,0.04084340013599208,30
push,0,1,pr,1.4533195932706198,0.04099183360994497,30
push,0,2,pr,1.4830656131108602,0.0519992254858297,30
push,0,3,pr,1.4484921892484028,0.042058793847153275,30
push,0,4,pr,1.40546266635259,0.03535961310904238,30
push,0,5,pr,1.3766689022382101,0.02340995713043005,30
push,0,6,pr,1.3832235058148703,0.030565441812343185,30
push,0,7,pr,1.3852130929629007,0.03833601847726861,30
push,0,8,pr,1.3512295007705688,0.026543963849434773,30
push,1,-8,speed,1.4692873905102413,0.14031175407791785,30
push,1,-7,speed,1.4164450546105702,0.13505735777563277,30
push,1,-6,speed,1.3598247736692428,0.11885848978978711,30
push,1,-5,speed,1.432693006594976,0.1421973121442831,30
push,1,-4,speed,1.3801595638195674,0.1352237541074971,30
push,1,-3,speed,1.3271382987499236,0.13525617927437708,30
push,1,-2,speed,1.2835940212011336,0.132448395824794,30
push,1,-1,speed,1.3062018970648448,0.14030149319094434,30
push,1,0,speed,1.347374471028646,0.1549168774899897,30
push,1,1,speed,1.2788517266511916,0.139790466899677,30
push,1,2,speed,1.2737261444330215,0.13761674312441444,30
push,1,3,speed,1.1956440329551696,0.12947214710462632,30
push,1,4,speed,1.5931730210781097,0.22420114493857987,30
push,1,5,speed,1.6202389001846313,0.22406051223573858,30
push,1,6,speed,1.582419774432977,0.24299077080776077,30
push,1,7,speed,1.515869708855947,0.23199038128811877,30
push,1,8,speed,1.6158512234687805,0.22499461941766508,30
push,1,-8,curvature,2.6926863010943296,0.06075109256022969,30
push,1,-7,curvature,2.7337073106732928,0.0542606183461295,30
push,1,-6,curvature,2.7122960489311216,0.06597969159956828,30
push,1,-5,curvature,2.504406495922481,0.11865397504669835,30
push,1,-4,curvature,2.616545579667736,0.08520623990966059,30
push,1,-3,curvature,2.6361715009778988,0.07041352494814736,30
push,1,-2,curvature,2.5606165860710366,0.09778413694999899,30
push,1,-1,curvature,2.637088340133611,0.08681587088872521,30
push,1,0,curvature,2.58805648056975,0.07721742952421275,30
push,1,1,curvature,2.4561440091387543,0.09860308034024286,30
push,1,2,curvature,2.426173789632291,0.10520423595179486,30
push,1,3,curvature,2.488519256575576,0.0933500129675362,30
push,1,4,curvature,2.7032029048618567,0.05399951987310043,30
push,1,5,curvature,2.6048425144394725,0.08213541265418216,30
push,1,6,curvature,2.3894762127563287,0.10484389907334177,30
push,1,7,curvature,2.6224123933594767,0.06634815712443515,30
push,1,8,curvature,2.574969535490092,0.08931757581253588,30
push,1,-8,tortuosity,9.482718467432163,1.190562711465106,30
push,1,-7,tortuosity,8.037679641311646,0.9000832693400186,30
push,1,-6,tortuosity,7.772513989371299,0.7266924297865711,30
push,1,-5,tortuosity,7.710542194526857,0.8311002278580546,30
push,1,-4,tortuosity,7.378984351908088,0.6850124143262547,30
push,1,-3,tortuosity,6.945399893139279,0.5957153590788856,30
push,1,-2,tortuosity,6.886039613683307,0.6819215610513739,30
push,1,-1,tortuosity,6.320464251585301,0.6089660281932697,30
push,1,0,tortuosity,6.482265588246126,0.8168223478912904,30
push,1,1,tortuosity,6.532374732959998,1.0156829881761815,30
push,1,2,tortuosity,7.314776691506536,1.076917512612861,30
push,1,3,tortuosity,6.231297058842162,0.9030409449946201,30
push,1,4,tortuosity,6.794331041596981,0.9736030090729835,30
push,1,5,tortuosity,6.493033005661869,1.019942924423838,30
push,1,6,tortuosity,7.094122098438272,1.1759299567613886,30
push,1,7,tortuosity,7.034599304322094,1.1076296155763905,30
push,1,8,tortuosity,7.617461193094844,1.3420640507501862,30
push,1,-8,pr,1.7854118506113688,0.08907751743197406,30
push,1,-7,pr,1.7639763156572978,0.08877281071317,30
push,1,-6,pr,1.7537200093269347,0.0921600075484574,30
push,1,-5,pr,1.756954276561737,0.09173640093488827,30
push,1,-4,pr,1.7966908494631448,0.09027770470722354,30
push,1,-3,pr,1.7638508081436157,0.08296893979468545,30
push,1,-2,pr,1.7751499970753988,0.08138062911798558,30
push,1,-1,pr,1.7701864163080852,0.0823250770404641,30
push,1,0,pr,1.7556488633155822,0.07874956956162088,30
push,1,1,pr,1.7405139605204265,0.08774868609568517,30
push,1,2,pr,1.72702663342158,0.08408765654747946,30
push,1,3,pr,1.7356874068578085,0.09047803806085229,30
push,1,4,pr,1.8069486220677693,0.09275666861149125,30
push,1,5,pr,1.8571693817774455,0.09668166349761077,30
push,1,6,pr,1.8257188121477763,0.09954354733724699,30
push,1,7,pr,1.7652285734812418,0.07963877085076902,30
push,1,8,pr,1.7796859860420227,0.1054211428747034,30
push,2,-8,speed,2.1825435479482014,0.14539731436525696,30
push,2,-7,speed,2.1294751743475597,0.15691614991873834,30
push,2,-6,speed,2.172799112399419,0.1518770733215329,30
push,2,-5,speed,2.2540722946325937,0.16785224777801802,30
push,2,-4,speed,2.2460820972919464,0.15566605219149415,30
push,2,-3,speed,2.254816706975301,0.14643195930509426,30
push,2,-2,speed,2.2160486062367757,0.146548396785799,30
push,2,-1,speed,2.3000889658927917,0.1594794348712216,30
push,2,0,speed,2.2609988927841185,0.15856726287069206,30
push,2,1,speed,2.1906123677889506,0.15856817200275133,30
push,2,2,speed,2.210399637619654,0.15617115534035209,30
push,2,3,speed,2.148964973290761,0.14250929770497595,30
push,2,4,speed,2.4615076879660287,0.2009111076425155,30
push,2,5,speed,2.421613879998525,0.22291542039513046,30
push,2,6,speed,2.403384162982305,0.20220818165997234,30
push,2,7,speed,2.4699192444483438,0.20607699566255883,30
push,2,8,speed,2.494021185239156,0.17753136244474774,30
push,2,-8,curvature,2.766362419838222,0.048076939072959644,30
