,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L10,0.3066853,0.47119772,0.47573164,0.48272803,0.5721684,0.59810054,0.6659181,0.73290944,0.80296063,0.96407604,1.0,0.97464687,0.790962,0.8101121,0.81666017,0.8034417,0.78083557,0.7781993,0.74620724,0.7338619,0.7212284,0.6919384,0.6674402,0.62621295
L11,0.31277925,0.5182623,0.52533555,0.51302326,0.61496055,0.6406439,0.70806074,0.7769698,0.8335988,0.92093277,0.97464687,1.0,0.82316035,0.85113835,0.8635674,0.8469417,0.82165146,0.8141791,0.7772479,0.75590736,0.7375739,0.7092066,0.68203616,0.63977885
L12,0.3093614,0.5081644,0.48063925,0.46426645,0.5562345,0.57789046,0.633252,0.6877984,0.7252414,0.74280804,0.790962,0.82316035,1.0,0.8926024,0.89311224,0.86869943,0.8324818,0.8074763,0.76334405,0.72597826,0.69334114,0.6657996,0.6417253,0.6075182
L13,0.3084402,0.50799817,0.47945595,0.4591667,0.56484556,0.5920751,0.6548126,0.7197451,0.75722533,0.75647724,0.8101121,0.85113835,0.8926024,1.0,0.9713438,0.9357255,0.9110695,0.89297587,0.84658027,0.826757,0.7984266,0.7659661,0.7352736,0.6937773
L14,0.34522435,0.5684115,0.5345024,0.5102001,0.6092099,0.629459,0.69358283,0.7547902,0.78140396,0.76092243,0.81666017,0.8635674,0.89311224,0.9713438,1.0,0.9808999,0.95896727,0.9417712,0.899955,0.862889,0.8279096,0.7928465,0.76082987,0.71756613
L15,0.37305582,0.5982803,0.5626092,0.54222476,0.6337649,0.6475207,0.7107218,0.77007765,0.7929365,0.7527193,0.8034417,0.8469417,0.86869943,0.9357255,0.9808999,1.0,0.9851659,0.9692722,0.93915385,0.903309,0.8683,0.8340198,0.80484813,0.76155025
L16,0.4038242,0.61908275,0.5521434,0.53949755,0.62630445,0.6443244,0.7076202,0.7628667,0.7828952,0.73240143,0.78083557,0.82165146,0.8324818,0.9110695,0.95896727,0.9851659,1.0,0.9870412,0.96534294,0.9332437,0.89614624,0.86047477,0.8299561,0.7830795
L17,0.39411625,0.6028461,0.5344814,0.5244713,0.60882473,0.62823766,0.6920874,0.74830467,0.7729194,0.7333112,0.7781993,0.8141791,0.8074763,0.89297587,0.9417712,0.9692722,0.9870412,1.0,0.9835464,0.9545788,0.9232931,0.89138925,0.8616225,0.8162236
L18,0.41135845,0.6109136,0.5344069,0.53311366,0.61391085,0.6297575,0.68852025,0.74195874,0.76499027,0.7069696,0.74620724,0.7772479,0.76334405,0.84658027,0.899955,0.93915385,0.96534294,0.9835464,1.0,0.978975,0.9494477,0.9260512,0.90272975,0.8568502
L19,0.40367135,0.57335573,0.48948205,0.49630392,0.576962,0.5990657,0.6613318,0.719216,0.75121695,0.6956594,0.7338619,0.75590736,0.72597826,0.826757,0.862889,0.903309,0.9332437,0.9545788,0.978975,1.0,0.98498297,0.96449053,0.9352479,0.88666135
L20,0.37994367,0.53113925,0.45111963,0.45806316,0.5429842,0.5635958,0.6218924,0.68358845,0.72091204,0.6848082,0.7212284,0.7375739,0.69334114,0.7984266,0.8279096,0.8683,0.89614624,0.9232931,0.9494477,0.98498297,1.0,0.98741597,0.9634411,0.9227964
L21,0.36128777,0.50828767,0.42427355,0.42653516,0.51942766,0.539221,0.5940114,0.6572222,0.699138,0.6527974,0.6919384,0.7092066,0.6657996,0.7659661,0.7928465,0.8340198,0.86047477,0.89138925,0.9260512,0.96449053,0.98741597,1.0,0.98594654,0.9527037
L22,0.35253748,0.49243262,0.41277248,0.41167387,0.50561965,0.5166997,0.56348073,0.6263315,0.6751139,0.6328027,0.6674402,0.68203616,0.6417253,0.7352736,0.76082987,0.80484813,0.8299561,0.8616225,0.90272975,0.9352479,0.9634411,0.98594654,1.0,0.9840489
L23,0.32865766,0.46112525,0.3883304,0.38394454,0.47562104,0.48061565,0.52034456,0.5799451,0.63184565,0.5966888,0.62621295,0.63977885,0.6075182,0.6937773,0.71756613,0.76155025,0.7830795,0.8162236,0.8568502,0.88666135,0.9227964,0.9527037,0.9840489,1.0
