task,layer,rsa_vel_tan,rsa_acc_tan,rsa_acc_tan_partial
nut_thread,0,0.01450850568781918,0.023188852774301934,0.019623296715288657
nut_thread,1,0.021871017743890643,0.0418695013746566,0.03772437228735864
nut_thread,2,0.02680973394587899,0.053306860803688634,0.048900442189124385
nut_thread,3,0.037883079240926515,0.0648944689136356,0.05760033659986132
nut_thread,4,0.02249234151251189,0.06716600247760421,0.0628500109704739
nut_thread,5,0.03031771333758888,0.07548636170011257,0.06969316442548062
nut_thread,6,0.042228887347792246,0.08227416699961858,0.07357326458780274
nut_thread,7,0.04717237525918236,0.0840804407038786,0.07432038117260105
nut_thread,8,0.05410095588612985,0.09129791785271915,0.08053842879245444
nut_thread,9,0.09754862006886801,0.1061200459258889,0.08841938684077989
nut_thread,10,0.09334029557218183,0.0886080879401688,0.07227263675866813
nut_thread,11,0.09489350360143212,0.09485075493579787,0.081681602911118
nut_thread,12,0.10515896480257902,0.08779748508990215,0.07117438703149825
nut_thread,13,0.11417100163916444,0.09301208598243174,0.07360503751525567
nut_thread,14,0.10147761584632228,0.08563603127928157,0.06635499531054477
nut_thread,15,0.11964198180131153,0.09020373362362323,0.06952207880872996
nut_thread,16,0.11339013802433358,0.07910288879730867,0.05884492609736511
nut_thread,17,0.1255079508505805,0.09125607543023027,0.06985510851480957
nut_thread,18,0.11536050837635224,0.08675288353462791,0.06516634892510129
nut_thread,19,0.13221761169526447,0.0983910316487465,0.07628119204969058
nut_thread,20,0.12261303689236343,0.0929521145759903,0.07021770753610669
nut_thread,21,0.1275692344616695,0.10928178855738721,0.08235831027247496
nut_thread,22,0.12681888355679677,0.11015155180484983,0.08451984949754908
nut_thread,23,0.11830575988312458,0.09831061706778582,0.0758601926344161
