task,layer,group,rho1,energy,rank90,n_components
push,15,acc,0.37631803537632547,0.425453675370082,4,6
push,15,ct,0.8662375648880875,1.6886157764603777,4,5
push,16,pos,0.9945020859464049,3.4889102303109265,4,6
push,16,vel,0.970789956232743,3.0249923962701746,4,6
push,16,acc,0.3717199341643407,0.4107989797129588,4,6
push,16,ct,0.8673113669060283,1.6933718398205797,4,5
push,17,pos,0.9948205225979181,3.446292899267391,4,6
push,17,vel,0.972125197400807,2.916394611529875,4,6
push,17,acc,0.36565062519844127,0.37595171524265864,4,6
push,17,ct,0.8646266460852856,1.666874585512854,4,5
push,18,pos,0.9949875860889027,3.4763725476729177,4,6
push,18,vel,0.9739955233036406,2.945012303131015,4,6
push,18,acc,0.3747617586180577,0.3690481665068724,4,6
push,18,ct,0.8677407379977763,1.7094135572659837,4,5
push,19,pos,0.9945052217153914,3.4191091414994994,4,6
push,19,vel,0.9736937062558987,2.8165542274071824,4,6
push,19,acc,0.35962508262639914,0.3426934051150112,3,6
push,19,ct,0.8503377060067753,1.6371628447372606,4,5
push,20,pos,0.994277740645131,3.346465462620827,4,6
push,20,vel,0.9726358975509921,2.8034728709062247,4,6
push,20,acc,0.3670832007069493,0.3547573755623329,4,6
push,20,ct,0.8517952806661419,1.6137317411766174,4,5
push,21,pos,0.9947262214218111,3.3651596532014656,4,6
push,21,vel,0.9695909627271732,2.8485012112139967,4,6
push,21,acc,0.37189739550431683,0.3820365538488418,4,6
push,21,ct,0.8547814138211054,1.600494922967666,4,5
push,22,pos,0.9942240152005692,3.514636709570824,4,6
push,22,vel,0.9758068262857413,2.9881177111613515,4,6
push,22,acc,0.3697023235691444,0.357398193480423,4,6
push,22,ct,0.8615464403455199,1.7216671086013506,4,5
push,23,pos,0.9938482669214781,3.5999740187101974,4,6
push,23,vel,0.9754470766836536,2.9183135118450525,4,6
push,23,acc,0.3644362991426586,0.33936647906156864,4,6
push,23,ct,0.8577605993153907,1.6707288022249536,4,5
strike,0,pos,0.9731042472905819,2.0273758513943303,5,6
strike,0,vel,0.7459086601034868,1.2158322537976167,4,6
strike,0,acc,0.48964949076908504,0.4187408638665969,3,6
strike,0,ct,0.6844013008304938,0.7344690733325804,3,5
strike,1,pos,0.9788404051587126,1.7092868282140428,3,6
strike,1,vel,0.8524710532393321,1.242323487777416,3,6
strike,1,acc,0.4877371705235836,0.343583778691676,3,6
strike,1,ct,0.6593574551390987,0.5629366237926513,2,5
strike,2,pos,0.6903368623064529,0.6538198584102133,2,2
strike,2,vel,0.5275980740455971,0.31677016650166223,2,2
strike,2,acc,0.17301706734568745,0.040279485012634356,2,2
strike,2,ct,0.3579835704420962,0.15628733925768737,2,2
strike,3,pos,0.8391740202589688,1.022571045965316,2,3
strike,3,vel,0.6442050812035082,0.4848968995330625,2,3
strike,3,acc,0.2779062849501382,0.09683678382234687,2,3
strike,3,ct,0.3635273003674902,0.17096277228483311,2,3
strike,4,pos,0.863485090667059,1.053242426629699,2,3
strike,4,vel,0.6332056662616862,0.4806744283229568,2,3
strike,4,acc,0.28613248023215143,0.10301588611712757,2,3
strike,4,ct,0.5883684666000963,0.38131036211546515,1,3
strike,5,pos,0.8818904031893992,0.9910094123283305,2,3
strike,5,vel,0.5911847032298637,0.42399921623096365,2,3
strike,5,acc,0.32061008961690673,0.11824942001796437,2,3
strike,5,ct,0.5753413766565071,0.3692832800118666,2,3
strike,6,pos,0.9523687138271816,1.502634985686352,2,6
strike,6,vel,0.9216096716645529,1.7299871194849021,3,6
strike,6,acc,0.4903983073431671,0.4438611958851043,3,6
strike,6,ct,0.6046912895933646,0.4775112131464557,2,5
strike,7,pos,0.9708813365293293,1.7626137769846377,3,6
strike,7,vel,0.931220745575592,1.826871986869736,3,6
strike,7,acc,0.48979124394142187,0.4705345763438401,3,6
strike,7,ct,0.6665025001073495,0.5720552087879248,2,5
strike,8,pos,0.9785442536044162,2.4449834826641137,3,6
strike,8,vel,0.9388495880820645,2.0179114454647404,4,6
strike,8,acc,0.5053836254247587,0.5135343237243083,3,6
strike,8,ct,0.7384841830251405,0.8050893245645153,3,5
strike,9,pos,0.9919285984773539,3.1176448620631634,4,6
strike,9,vel,0.9497857628641456,2.464939294210013,5,6
strike,9,acc,0.5112044826216298,0.6117580408389617,4,6
strike,9,ct,0.8238486065169688,1.0646386858026906,3,5
strike,10,pos,0.993665549549241,3.2207895671756197,4,6
strike,10,vel,0.9503969261308927,2.616781819907173,5,6
strike,10,acc,0.5176854864382637,0.6436011827203524,4,6
strike,10,ct,0.8384257688182012,1.105274719988824,4,5
strike,11,pos,0.9946157849325551,3.2614085553985523,4,6
strike,11,vel,0.9501817783702835,2.6741350135748942,5,6
strike,11,acc,0.5195883637282013,0.6904936891614268,4,6
strike,11,ct,0.8382547288283554,1.1268585261535553,3,5
strike,12,pos,0.994461771768934,3.368952031923827,4,6
strike,12,vel,0.9507278817117281,2.907032532574689,5,6
strike,12,acc,0.5404480384689417,0.8013200359662482,4,6
strike,12,ct,0.8533826784243587,1.2924648969205894,4,5
strike,13,pos,0.9949965339016981,3.3551906087677574,4,6
strike,13,vel,0.9539671709670635,2.932513226033811,5,6
strike,13,acc,0.5469500403736147,0.8228816172488331,4,6
strike,13,ct,0.8634756811725557,1.2873353816379822,4,5
strike,14,pos,0.9947174734107473,3.23905530591741,4,6
strike,14,vel,0.9593999867042875,2.7546152843514675,5,6
strike,14,acc,0.5615672992260767,0.7920550049773928,4,6
strike,14,ct,0.8641724448387076,1.211748020976398,4,5
strike,15,pos,0.9941129539164963,3.1114029331082547,4,6
strike,15,vel,0.9614624238167181,2.7215872654794944,5,6
strike,15,acc,0.5654687764503941,0.7884478621386214,4,6
strike,15,ct,0.8645274193920237,1.135009873836469,4,5
strike,16,pos,0.9955878178204434,3.0404079784583833,4,6
strike,16,vel,0.9632060286628449,2.7039536962528374,5,6
strike,16,acc,0.562002835348382,0.785698264961782,4,6
strike,16,ct,0.8634622213588047,1.124394378570262,3,5
strike,17,pos,0.9944075552672587,2.9276894044091804,4,6
strike,17,vel,0.9636158520954524,2.6607789735314173,5,6
strike,17,acc,0.553700085552255,0.7390160616030393,4,6
strike,17,ct,0.8499012377563809,1.0622769427824916,3,5
strike,18,pos,0.9954380751227908,2.921247874899414,4,6
strike,18,vel,0.9651038162610299,2.604779397413532,5,6
strike,18,acc,0.5491466830187057,0.7035070397192078,4,6
strike,18,ct,0.8617837923871335,1.0714353941750026,3,5
strike,19,pos,0.9939640615449552,2.851999117080043,4,6
strike,19,vel,0.9654903324610147,2.4924837585408977,4,6
strike,19,acc,0.5410298099536663,0.6844725126239019,4,6
strike,19,ct,0.856831515042454,1.0526190180919546,3,5
strike,20,pos,0.9937720886016764,2.924306254613153,4,6
strike,20,vel,0.9657638102329121,2.533860752097553,4,6
strike,20,acc,0.548310922764256,0.7015142769316738,4,6
strike,20,ct,0.8595929977228185,1.0631026080875885,3,5
strike,21,pos,0.9948781812013564,3.0522946425759168,4,6
strike,21,vel,0.9657907234830353,2.5350317427114666,4,6
strike,21,acc,0.5543632068831861,0.7114603374488169,4,6
strike,21,ct,0.8698315333931474,1.0890379254421132,3,5
strike,22,pos,0.9951631511878692,3.176236053454942,4,6
strike,22,vel,0.9716805379593926,2.717943323278209,5,6
strike,22,acc,0.5706162025049765,0.7657140521328802,4,6
strike,22,ct,0.8744195239616263,1.1714058083499246,3,5
strike,23,pos,0.9939426621140569,3.1214505391327925,4,6
strike,23,vel,0.971261915262183,2.6595273453547423,5,6
strike,23,acc,0.5563359032454277,0.7045952596592626,4,6
strike,23,ct,0.8626552280759744,1.1288055825769432,3,5
reach,0,pos,0.9139339415951296,1.9946788335634626,3,3
reach,0,vel,0.14817344698598214,0.045440377721999645,3,3
reach,0,acc,0.10197612097775266,0.02465458705233966,3,3
reach,0,ct,,,1,5
reach,1,pos,0.9272125671697782,2.011959540470081,3,3
reach,1,vel,0.2391227803785955,0.11110290785178331,3,3
reach,1,acc,0.1434055674145025,0.03328432351495311,3,3
reach,1,ct,,,1,5
reach,2,pos,0.8819163504572887,1.3459871959310576,3,3
reach,2,vel,0.18821234837792047,0.0571153067766546,3,3
reach,2,acc,0.07266572046260103,0.009917943684133717,3,3
reach,2,ct,,,1,5
