layer,task_i,task_j,cka
4,peg_insert,nut_thread,0.8892618045768752
5,push,strike,0.990880411510999
5,push,reach,0.9512081550963776
5,push,drawer,0.8106361507765362
5,push,peg_insert,0.350850135458603
5,push,nut_thread,0.35694770209268895
5,strike,reach,0.9357168773405923
5,strike,drawer,0.82953326898826
5,strike,peg_insert,0.36847103211115645
5,strike,nut_thread,0.3525083259348135
5,reach,drawer,0.7284355867603904
5,reach,peg_insert,0.3070002212000707
5,reach,nut_thread,0.31696856519796396
5,drawer,peg_insert,0.5834269128011719
5,drawer,nut_thread,0.514016820864395
5,peg_insert,nut_thread,0.8439356302822526
6,push,strike,0.9875800838571595
6,push,reach,0.9133795831542307
6,push,drawer,0.7186552709381512
6,push,peg_insert,0.30085950157562996
6,push,nut_thread,0.31086610852520913
6,strike,reach,0.8920510671338258
6,strike,drawer,0.7169297053089239
6,strike,peg_insert,0.3087151833676947
6,strike,nut_thread,0.3050798468917485
6,reach,drawer,0.6083998513087278
6,reach,peg_insert,0.2624930451592652
6,reach,nut_thread,0.2775620437056114
6,drawer,peg_insert,0.4940179348018628
6,drawer,nut_thread,0.45967808587270526
6,peg_insert,nut_thread,0.8264093309630394
7,push,strike,0.9872381388501567
7,push,reach,0.8924708478716981
7,push,drawer,0.7067606963790979
7,push,peg_insert,0.30334487365484425
7,push,nut_thread,0.28593846338233564
7,strike,reach,0.8794133132933172
7,strike,drawer,0.7014292126868555
7,strike,peg_insert,0.30891662558961985
7,strike,nut_thread,0.2783394589783151
7,reach,drawer,0.5728251192269801
7,reach,peg_insert,0.26503593305185574
7,reach,nut_thread,0.2470448565033457
7,drawer,peg_insert,0.4982664858632344
7,drawer,nut_thread,0.44010608973458776
7,peg_insert,nut_thread,0.8031470760975599
8,push,strike,0.989352023467415
8,push,reach,0.8811146700152408
8,push,drawer,0.6912381347607368
8,push,peg_insert,0.24705391754562686
8,push,nut_thread,0.2542638466475997
8,strike,reach,0.8710187285782672
8,strike,drawer,0.6956513429845882
8,strike,peg_insert,0.2523148265369685
8,strike,nut_thread,0.2510017234987676
8,reach,drawer,0.5669399599207967
8,reach,peg_insert,0.21632944462460793
8,reach,nut_thread,0.22540758385568196
8,drawer,peg_insert,0.4216156589346337
8,drawer,nut_thread,0.36724599834060406
8,peg_insert,nut_thread,0.7271293453901775
9,push,strike,0.971774704743564
9,push,reach,0.8109762077019668
9,push,drawer,0.6541114293908062
9,push,peg_insert,0.19593128385448258
9,push,nut_thread,0.2267098417737047
9,strike,reach,0.8133349546528695
9,strike,drawer,0.6710575304823566
9,strike,peg_insert,0.1812290932894466
9,strike,nut_thread,0.20423243396744434
9,reach,drawer,0.5575890834118772
9,reach,peg_insert,0.17306792771116566
9,reach,nut_thread,0.21282424808654818
9,drawer,peg_insert,0.25628231273314755
9,drawer,nut_thread,0.24860428225179443
9,peg_insert,nut_thread,0.5919911801369885
10,push,strike,0.972538620463914
10,push,reach,0.8067306149301957
10,push,drawer,0.6329225879137846
10,push,peg_insert,0.19713099741231127
10,push,nut_thread,0.20249183091452216
10,strike,reach,0.8059325698505908
10,strike,drawer,0.6478116687278647
10,strike,peg_insert,0.17819816093600438
10,strike,nut_thread,0.18098069498735944
10,reach,drawer,0.5416093342852004
10,reach,peg_insert,0.17344402801429806
10,reach,nut_thread,0.19862299005717943
10,drawer,peg_insert,0.240385524182334
10,drawer,nut_thread,0.2242593738418567
10,peg_insert,nut_thread,0.6082982668321609
11,push,strike,0.9679061888048176
11,push,reach,0.7964746102359915
11,push,drawer,0.6016192873406955
11,push,peg_insert,0.20579484042182397
11,push,nut_thread,0.19781888231608163
11,strike,reach,0.7906240862225646
11,strike,drawer,0.6244415370149411
11,strike,peg_insert,0.18758893694233061
11,strike,nut_thread,0.17681414046454688
11,reach,drawer,0.5050058898633328
11,reach,peg_insert,0.18490741062903168
11,reach,nut_thread,0.1999928171332528
11,drawer,peg_insert,0.23362446878491736
11,drawer,nut_thread,0.20754460380566314
11,peg_insert,nut_thread,0.6527102200627826
12,push,strike,0.9328302438623491
12,push,reach,0.7409462544104354
12,push,drawer,0.516067012705277
12,push,peg_insert,0.16787797253874528
12,push,nut_thread,0.17365832221970356
12,strike,reach,0.7452516244628998
12,strike,drawer,0.5631304579936468
12,strike,peg_insert,0.12969016613961482
12,strike,nut_thread,0.14498365866134186
12,reach,drawer,0.4515020485476705
12,reach,peg_insert,0.18805938915536272
12,reach,nut_thread,0.2202200301610195
12,drawer,peg_insert,0.14387635744038751
12,drawer,nut_thread,0.15410547875597805
12,peg_insert,nut_thread,0.6747267094227637
13,push,strike,0.9376031048218957
13,push,reach,0.7394381449476204
13,push,drawer,0.5107215213021057
13,push,peg_insert,0.17321484894306216
13,push,nut_thread,0.1604076107293921
13,strike,reach,0.7300348616714438
13,strike,drawer,0.5634617232250997
13,strike,peg_insert,0.1352683081244039
13,strike,nut_thread,0.1330170929259186
13,reach,drawer,0.42892935877277466
13,reach,peg_insert,0.18336390948332396
13,reach,nut_thread,0.1881508280025703
13,drawer,peg_insert,0.14438200499715823
13,drawer,nut_thread,0.134005836523209
13,peg_insert,nut_thread,0.6413810260004538
14,push,strike,0.9384501368093314
14,push,reach,0.7400403170831548
14,push,drawer,0.5399229832803095
14,push,peg_insert,0.1939243035084659
14,push,nut_thread,0.1714819918584813
14,strike,reach,0.7413252740233554
14,strike,drawer,0.6084377290540106
14,strike,peg_insert,0.15915221076478128
14,strike,nut_thread,0.14723190470446676
14,reach,drawer,0.46114365854209627
14,reach,peg_insert,0.19161097621268733
14,reach,nut_thread,0.19139277019925993
14,drawer,peg_insert,0.16340456605605191
14,drawer,nut_thread,0.15227395177996966
14,peg_insert,nut_thread,0.6687455103908766
15,push,strike,0.9322954468738516
15,push,reach,0.7171266760418717
15,push,drawer,0.5209022650055914
15,push,peg_insert,0.20295421833572624
15,push,nut_thread,0.17001969343583764
15,strike,reach,0.7411185786036057
15,strike,drawer,0.5960656990997429
15,strike,peg_insert,0.16666158600590203
15,strike,nut_thread,0.13999265599402022
15,reach,drawer,0.4920467863081536
15,reach,peg_insert,0.18184499895739573
15,reach,nut_thread,0.17131758752739662
15,drawer,peg_insert,0.16476457425111435
15,drawer,nut_thread,0.15357547670516233
15,peg_insert,nut_thread,0.6527793779650266
16,push,strike,0.9308082953781945
16,push,reach,0.7100805338728493
16,push,drawer,0.5473884431310861
16,push,peg_insert,0.22239729360963628
16,push,nut_thread,0.19116545070911833
16,strike,reach,0.7336487955437564
16,strike,drawer,0.6106204331444578
16,strike,peg_insert,0.18870254193325137
16,strike,nut_thread,0.15649162924226037
16,reach,drawer,0.5108004243667615
16,reach,peg_insert,0.1952389356683321
16,reach,nut_thread,0.19319814909511432
16,drawer,peg_insert,0.19051912257006715
16,drawer,nut_thread,0.16372656179277628
16,peg_insert,nut_thread,0.6596191219186635
17,push,strike,0.9253171576504906
17,push,reach,0.6997430216815081
17,push,drawer,0.5477013537257868
17,push,peg_insert,0.24603260316538425
17,push,nut_thread,0.20585726329585502
17,strike,reach,0.7275862371930428
17,strike,drawer,0.6142718748015153
17,strike,peg_insert,0.20012348864397092
17,strike,nut_thread,0.16259369841897697
17,reach,drawer,0.5538280653796992
17,reach,peg_insert,0.20599558553130745
17,reach,nut_thread,0.1879354977305139
17,drawer,peg_insert,0.16626795809984887
17,drawer,nut_thread,0.1414632564801696
17,peg_insert,nut_thread,0.6035175871801791
18,push,strike,0.9289125581674113
18,push,reach,0.7112255279605499
18,push,drawer,0.5805940919021699
18,push,peg_insert,0.25760940755423883
18,push,nut_thread,0.21614579554938104
18,strike,reach,0.7392434292109843
18,strike,drawer,0.6428902007917885
18,strike,peg_insert,0.207018491147478
18,strike,nut_thread,0.16420041629022064
18,reach,drawer,0.582822512181028
18,reach,peg_insert,0.2083509120485721
18,reach,nut_thread,0.18428756593139456
18,drawer,peg_insert,0.1656237269557831
18,drawer,nut_thread,0.13335066027088008
18,peg_insert,nut_thread,0.6044281297486628
19,push,strike,0.9239995345969868
19,push,reach,0.692676004584401
19,push,drawer,0.5665197125617366
19,push,peg_insert,0.31056800533633255
19,push,nut_thread,0.2496913136142774
19,strike,reach,0.7204835527731474
19,strike,drawer,0.6319164385882425
19,strike,peg_insert,0.2409772469881873
19,strike,nut_thread,0.17683912826505002
19,reach,drawer,0.5870995722437194
19,reach,peg_insert,0.24900601971186914
19,reach,nut_thread,0.22173948622073045
19,drawer,peg_insert,0.1709971278425434
19,drawer,nut_thread,0.12455034587209658
19,peg_insert,nut_thread,0.6276298249561478
20,push,strike,0.9248573013190582
20,push,reach,0.6781246121595229
20,push,drawer,0.5291043743371595
20,push,peg_insert,0.33473453357632843
20,push,nut_thread,0.28086239613114955
20,strike,reach,0.694683395679023
20,strike,drawer,0.5942651306789128
20,strike,peg_insert,0.26161657612083594
20,strike,nut_thread,0.20435972549368248
20,reach,drawer,0.5710842088491718
20,reach,peg_insert,0.29583157537092997
20,reach,nut_thread,0.270076105943781
20,drawer,peg_insert,0.150556711053601
20,drawer,nut_thread,0.11082671866964036
20,peg_insert,nut_thread,0.6440142959889696
21,push,strike,0.9026446947316672
21,push,reach,0.609477654607879
21,push,drawer,0.4569929468724813
21,push,peg_insert,0.3608636008851452
21,push,nut_thread,0.3004561906703943
21,strike,reach,0.6069625559520093
21,strike,drawer,0.5178144408108808
21,strike,peg_insert,0.2742035810171272
21,strike,nut_thread,0.21415027104556653
21,reach,drawer,0.49664206651393217
21,reach,peg_insert,0.3443229571673456
21,reach,nut_thread,0.3151907786621289
21,drawer,peg_insert,0.12632886109449507
21,drawer,nut_thread,0.0943278160028757
21,peg_insert,nut_thread,0.6660679486858938
22,push,strike,0.8630290603854034
22,push,reach,0.5519832227984738
22,push,drawer,0.3580436548197012
22,push,peg_insert,0.3602421974738259
22,push,nut_thread,0.3015840507777304
22,strike,reach,0.5206677609001159
22,strike,drawer,0.41424082023263986
22,strike,peg_insert,0.2803354593734788
22,strike,nut_thread,0.21647994140359308
22,reach,drawer,0.37082806903208815
22,reach,peg_insert,0.36627093545984557
22,reach,nut_thread,0.315598968071069
22,drawer,peg_insert,0.09347468639247027
22,drawer,nut_thread,0.06943301263150835
22,peg_insert,nut_thread,0.6412244294968542
23,push,strike,0.793736708533031
23,push,reach,0.5145844935334493
23,push,drawer,0.2692602967028047
23,push,peg_insert,0.37067545196198143
23,push,nut_thread,0.2784533222486547
23,strike,reach,0.4860427361601184
23,strike,drawer,0.31758928799952457
23,strike,peg_insert,0.3228980405406199
23,strike,nut_thread,0.23448507492590745
23,reach,drawer,0.2508454000218694
23,reach,peg_insert,0.41393951142029634
23,reach,nut_thread,0.33229833460147423
23,drawer,peg_insert,0.08457286773039839
23,drawer,nut_thread,0.06246608055719627
23,peg_insert,nut_thread,0.6196731675683782
