task,layer,slot,n_pcs_90,n_pcs_95
strike,17,3,22,55
strike,17,4,22,53
strike,17,5,21,54
strike,17,6,17,43
strike,17,7,9,21
strike,18,0,12,33
strike,18,1,19,50
strike,18,2,9,23
strike,18,3,22,55
strike,18,4,22,55
strike,18,5,23,57
strike,18,6,17,43
strike,18,7,8,19
strike,19,0,11,30
strike,19,1,18,47
strike,19,2,8,22
strike,19,3,21,51
strike,19,4,22,54
strike,19,5,20,50
strike,19,6,17,43
strike,19,7,8,18
strike,20,0,11,28
strike,20,1,18,47
strike,20,2,9,22
strike,20,3,20,51
strike,20,4,21,54
strike,20,5,19,49
strike,20,6,17,44
strike,20,7,8,19
strike,21,0,12,32
strike,21,1,22,55
strike,21,2,11,28
strike,21,3,24,59
strike,21,4,24,61
strike,21,5,21,55
strike,21,6,20,50
strike,21,7,10,21
strike,22,0,14,34
strike,22,1,23,57
strike,22,2,13,32
strike,22,3,23,57
strike,22,4,22,56
strike,22,5,20,52
strike,22,6,20,50
strike,22,7,11,23
strike,23,0,14,34
strike,23,1,18,44
strike,23,2,12,30
strike,23,3,20,46
strike,23,4,19,48
strike,23,5,18,45
strike,23,6,18,43
strike,23,7,11,22
reach,0,0,20,30
reach,0,1,20,30
reach,0,2,20,30
reach,0,3,20,30
reach,0,4,20,30
reach,0,5,20,30
reach,0,6,20,30
reach,0,7,20,30
reach,1,0,15,26
reach,1,1,15,26
reach,1,2,15,26
reach,1,3,15,26
reach,1,4,15,26
reach,1,5,15,26
reach,1,6,15,26
reach,1,7,15,26
reach,2,0,3,12
reach,2,1,3,12
reach,2,2,3,11
reach,2,3,3,12
reach,2,4,4,12
reach,2,5,3,12
reach,2,6,4,12
reach,2,7,4,13
reach,3,0,3,10
reach,3,1,3,8
reach,3,2,2,8
reach,3,3,3,9
reach,3,4,4,13
reach,3,5,5,15
reach,3,6,3,11
reach,3,7,5,14
reach,4,0,3,9
reach,4,1,3,8
reach,4,2,2,8
reach,4,3,3,9
reach,4,4,4,12
reach,4,5,3,12
reach,4,6,4,12
reach,4,7,3,12
reach,5,0,3,8
reach,5,1,3,8
reach,5,2,3,8
reach,5,3,3,8
reach,5,4,3,10
reach,5,5,4,11
reach,5,6,4,10
reach,5,7,2,5
reach,6,0,6,14
reach,6,1,5,13
reach,6,2,5,13
reach,6,3,7,16
reach,6,4,8,19
reach,6,5,8,20
reach,6,6,7,17
reach,6,7,5,12
reach,7,0,9,23
reach,7,1,8,22
reach,7,2,7,19
reach,7,3,10,25
reach,7,4,12,29
reach,7,5,14,32
reach,7,6,10,26
reach,7,7,7,19
reach,8,0,15,36
reach,8,1,14,34
reach,8,2,11,30
reach,8,3,15,36
reach,8,4,17,41
reach,8,5,19,43
reach,8,6,15,37
reach,8,7,12,33
reach,9,0,26,49
reach,9,1,27,50
reach,9,2,24,46
reach,9,3,27,52
reach,9,4,29,55
reach,9,5,31,57
reach,9,6,27,51
reach,9,7,23,45
reach,10,0,27,53
reach,10,1,31,59
reach,10,2,27,52
