task,layer,slot,target,r2_mean,r2_std
push,7,4,ee_acceleration,-0.4820136368274689,0.21584223393234908
push,7,4,contact_flag,0.4053184688091278,0.11319462661436783
push,7,4,contact_force_log1p_mag,0.07501139640808105,0.41501507841979923
push,7,5,ee_position,0.8524675369262695,0.19870987288489475
push,7,5,ee_velocity,0.85835280418396,0.04686744694118031
push,7,5,ee_acceleration,-0.26620230078697205,0.1489054771182881
push,7,5,contact_flag,0.39680478572845457,0.1679499808316076
push,7,5,contact_force_log1p_mag,-0.01418449878692627,0.5708799169385166
push,7,6,ee_position,0.8494732856750489,0.19625758902548104
push,7,6,ee_velocity,0.8543849468231202,0.05668835799507356
push,7,6,ee_acceleration,-0.3467704065144062,0.26068417901281604
push,7,6,contact_flag,0.3462320925667882,0.19483997115006407
push,7,6,contact_force_log1p_mag,0.08037763833999634,0.5077836043375613
push,7,7,ee_position,0.8519881010055542,0.1922271717779001
push,7,7,ee_velocity,0.8938916683197021,0.04123997952901159
push,7,7,ee_acceleration,-0.161644084751606,0.13568252020689014
push,7,7,contact_flag,0.4291010096669197,0.17489176512677743
push,7,7,contact_force_log1p_mag,0.1242780089378357,0.493160632689209
push,8,0,ee_position,0.8668787837028503,0.15535128248168634
push,8,0,ee_velocity,0.8183805108070373,0.045137950294540936
push,8,0,ee_acceleration,-0.5709389984607697,0.230697029611183
push,8,0,contact_flag,0.35586599707603456,0.1259385359046609
push,8,0,contact_force_log1p_mag,0.08117573261260987,0.3653918684353358
push,8,1,ee_position,0.8641811728477478,0.16206887080925492
push,8,1,ee_velocity,0.8088607907295227,0.043717428810873656
push,8,1,ee_acceleration,-0.6277997314929962,0.23791602974723106
push,8,1,contact_flag,0.2881981134414673,0.16891339067481337
push,8,1,contact_force_log1p_mag,-0.03197317123413086,0.4931162449505314
push,8,2,ee_position,0.8591196179389954,0.1786836223108347
push,8,2,ee_velocity,0.819775915145874,0.04363233136202724
push,8,2,ee_acceleration,-0.513756513595581,0.18096564740665244
push,8,2,contact_flag,0.3549774169921875,0.13419406336185882
push,8,2,contact_force_log1p_mag,0.05966117382049561,0.40341696097923907
push,8,3,ee_position,0.8645583510398864,0.1671860507933812
push,8,3,ee_velocity,0.8057972073554993,0.06478705276577838
push,8,3,ee_acceleration,-0.48136268854141234,0.21975793346106337
push,8,3,contact_flag,0.35619562866631893,0.19970872809348458
push,8,3,contact_force_log1p_mag,0.09150882959365844,0.44703568325310744
push,8,4,ee_position,0.8726176142692565,0.1432277694723605
push,8,4,ee_velocity,0.8328034400939941,0.0451281248038436
push,8,4,ee_acceleration,-0.39413225650787354,0.14475522577266842
push,8,4,contact_flag,0.26749238967895506,0.19271137437569863
push,8,4,contact_force_log1p_mag,-0.0278910756111145,0.4339552981482166
push,8,5,ee_position,0.868244469165802,0.16889866351659336
push,8,5,ee_velocity,0.864876663684845,0.03240717726498283
push,8,5,ee_acceleration,-0.32189662754535675,0.1862469743864677
push,8,5,contact_flag,0.39867113828659057,0.13460124341086283
push,8,5,contact_force_log1p_mag,0.07760710716247558,0.4141691934166269
push,8,6,ee_position,0.8507968246936798,0.19568917996075882
push,8,6,ee_velocity,0.8626286745071411,0.04546844054941136
push,8,6,ee_acceleration,-0.3557977318763733,0.20768698511537215
push,8,6,contact_flag,0.31757889986038207,0.2730189027113165
push,8,6,contact_force_log1p_mag,-0.016240227222442626,0.5346940753448528
push,8,7,ee_position,0.8421736896038056,0.20512082705881282
push,8,7,ee_velocity,0.9001167297363282,0.03491119313898943
push,8,7,ee_acceleration,-0.18615191373974085,0.1723767602731046
push,8,7,contact_flag,0.358319890499115,0.24870021641103715
push,8,7,contact_force_log1p_mag,0.054778897762298585,0.48726180026837496
push,9,0,ee_position,0.8524191856384278,0.16426208837777076
push,9,0,ee_velocity,0.8031350493431091,0.043790136395429564
push,9,0,ee_acceleration,-0.6296243309974671,0.24379907101026133
push,9,0,contact_flag,0.4511544942855835,0.08002380831125315
push,9,0,contact_force_log1p_mag,0.08130629062652588,0.39055266794862475
push,9,1,ee_position,0.8684514284133911,0.13516686458459362
push,9,1,ee_velocity,0.793251121044159,0.041996327972581134
push,9,1,ee_acceleration,-0.6718446373939514,0.1835028077279037
push,9,1,contact_flag,0.319861900806427,0.12794716222247837
push,9,1,contact_force_log1p_mag,0.021067321300506592,0.3691989736583617
push,9,2,ee_position,0.8667506456375123,0.1545925169934452
push,9,2,ee_velocity,0.7963888883590698,0.043951515035291926
push,9,2,ee_acceleration,-0.5671373903751373,0.1338410867696086
push,9,2,contact_flag,0.36256958842277526,0.1628479149862744
push,9,2,contact_force_log1p_mag,0.09222421646118165,0.3221094663160355
push,9,3,ee_position,0.8640520691871643,0.15309360216713042
push,9,3,ee_velocity,0.8041229367256164,0.06437383506896016
push,9,3,ee_acceleration,-0.5345245003700256,0.17655798319250685
push,9,3,contact_flag,0.3801498293876648,0.13896666150229983
push,9,3,contact_force_log1p_mag,0.10568714141845703,0.34098527458206346
push,9,4,ee_position,0.8651048421859742,0.15441605721171436
push,9,4,ee_velocity,0.8288892269134521,0.040210014797362456
push,9,4,ee_acceleration,-0.5296743929386138,0.2011643301696287
push,9,4,contact_flag,0.3551133036613464,0.15692081533102287
push,9,4,contact_force_log1p_mag,0.06620185375213623,0.4143928008252156
push,9,5,ee_position,0.865236496925354,0.151465851407553
push,9,5,ee_velocity,0.8524673104286193,0.048817959715426816
push,9,5,ee_acceleration,-0.4668612450361252,0.2664859738481736
push,9,5,contact_flag,0.4111686825752258,0.2090964310999314
push,9,5,contact_force_log1p_mag,0.05886135101318359,0.4981952027642971
push,9,6,ee_position,0.8663198232650757,0.16410855779444514
push,9,6,ee_velocity,0.8691432476043701,0.037786150360752696
push,9,6,ee_acceleration,-0.4264162003993988,0.2158373528292571
push,9,6,contact_flag,0.3212554931640625,0.22792256085259052
push,9,6,contact_force_log1p_mag,-0.043052065372467044,0.586075990285166
push,9,7,ee_position,0.849386703968048,0.17499673538926866
push,9,7,ee_velocity,0.9012892365455627,0.032718925143724396
push,9,7,ee_acceleration,-0.22956168577075003,0.1910906639101611
push,9,7,contact_flag,0.4084477171301842,0.2835853820275441
push,9,7,contact_force_log1p_mag,0.06320356130599976,0.5481719149108777
push,10,0,ee_position,0.8949360132217408,0.1178106773351446
push,10,0,ee_velocity,0.821429991722107,0.04097509731018278
push,10,0,ee_acceleration,-0.6566084206104279,0.29759231370123823
push,10,0,contact_flag,0.36155823469161985,0.14791251842653846
push,10,0,contact_force_log1p_mag,0.17428116798400878,0.2726430351654857
push,10,1,ee_position,0.8874746441841126,0.1279195596792132
push,10,1,ee_velocity,0.7991785287857056,0.057191253351716216
push,10,1,ee_acceleration,-0.62626051902771,0.1253010277360545
