task,layer,target,scheme,scheme_param,r2_mean,r2_std
push,8,contact_flag,prefix,3,0.09191311597824096,0.15412897369342737
push,8,contact_flag,prefix,7,-0.07666640281677246,0.3396255380536944
push,8,contact_flag,reverse,-1,-0.07331547141075134,0.3325007106793212
push,8,contact_flag,random_global_perm,-1,-0.06330052614212037,0.3205930654552527
push,8,contact_flag,random_per_sample,-2,-0.03157162666320801,0.23566057484742556
push,8,contact_force_log1p_mag,baseline_full,-1,-0.47865251302719114,0.7724651884235272
push,8,contact_force_log1p_mag,mean_over_slots,-1,-0.12334812879562378,0.599313125522937
push,8,contact_force_log1p_mag,single_slot,0,0.0812078833580017,0.365274740886906
push,8,contact_force_log1p_mag,single_slot,3,0.09127899408340454,0.44716577689474735
push,8,contact_force_log1p_mag,single_slot,7,0.054782640933990476,0.4873046329465529
push,8,contact_force_log1p_mag,prefix,0,0.08098820447921753,0.36445847667582787
push,8,contact_force_log1p_mag,prefix,3,-0.35038864612579346,0.6211258959994378
push,8,contact_force_log1p_mag,prefix,7,-0.47865251302719114,0.7724651884235272
push,8,contact_force_log1p_mag,reverse,-1,-0.49001526832580566,0.7935746352731006
push,8,contact_force_log1p_mag,random_global_perm,-1,-0.468170964717865,0.7768507487917736
push,8,contact_force_log1p_mag,random_per_sample,-2,-0.4606197357177734,0.7418626292238055
push,11,ee_acceleration,baseline_full,-1,-1.744703435897827,0.40806197835318775
push,11,ee_acceleration,mean_over_slots,-1,-0.840264368057251,0.27093958559042064
push,11,ee_acceleration,single_slot,0,-0.5507016330957413,0.2640908824643721
push,11,ee_acceleration,single_slot,3,-0.44865861237049104,0.13157637532200597
push,11,ee_acceleration,single_slot,7,-0.12900626175105573,0.13801867973839918
push,11,ee_acceleration,prefix,0,-0.5506956696510314,0.2640901258493256
push,11,ee_acceleration,prefix,3,-2.2459063291549684,0.43035101892788563
push,11,ee_acceleration,prefix,7,-1.744703435897827,0.40806197835318775
push,11,ee_acceleration,reverse,-1,-1.7681162357330322,0.4229838716430207
push,11,ee_acceleration,random_global_perm,-1,-1.7740300178527832,0.4275767471379803
push,11,ee_acceleration,random_per_sample,-2,-2.1119325399398803,0.4114259705759415
push,11,obj_acceleration,baseline_full,-1,-3.1037510871887206,1.0398445931925213
push,11,obj_acceleration,mean_over_slots,-1,-1.100966650247574,0.5804901445111188
push,11,obj_acceleration,single_slot,0,-0.6375930368900299,0.3808522133433544
push,11,obj_acceleration,single_slot,3,-0.63661148250103,0.33226681867075125
push,11,obj_acceleration,single_slot,7,-0.4683961093425751,0.24003074096170085
push,11,obj_acceleration,prefix,0,-0.6379965245723724,0.3810437227154082
push,11,obj_acceleration,prefix,3,-3.5681025981903076,1.69507198841775
push,11,obj_acceleration,prefix,7,-3.1037510871887206,1.0398445931925213
push,11,obj_acceleration,reverse,-1,-3.1239742279052733,1.0603284356915654
push,11,obj_acceleration,random_global_perm,-1,-3.0954636573791503,1.0541803982492233
push,11,obj_acceleration,random_per_sample,-2,-2.597180986404419,0.9272001580770826
push,11,contact_flag,baseline_full,-1,0.19049423038959504,0.18159950489805643
push,11,contact_flag,mean_over_slots,-1,0.43841523826122286,0.16076623275463636
push,11,contact_flag,single_slot,0,0.4109252989292145,0.13270759931807322
push,11,contact_flag,single_slot,3,0.4642249643802643,0.12181868309796415
push,11,contact_flag,single_slot,7,0.4441829741001129,0.20415902085744725
push,11,contact_flag,prefix,0,0.41095630526542665,0.13294612380727613
push,11,contact_flag,prefix,3,0.11422523334622384,0.12422267051517337
push,11,contact_flag,prefix,7,0.19049423038959504,0.18159950489805643
push,11,contact_flag,reverse,-1,0.19827063083648683,0.17264862961786784
push,11,contact_flag,random_global_perm,-1,0.18517125844955445,0.1847780673818967
push,11,contact_flag,random_per_sample,-2,0.19178321361541747,0.16487370822504213
push,11,contact_force_log1p_mag,baseline_full,-1,-0.4064897298812866,0.7178950737083118
push,11,contact_force_log1p_mag,mean_over_slots,-1,0.22379759550094605,0.3145606515854511
push,11,contact_force_log1p_mag,single_slot,0,0.19040695428848267,0.25233001894327234
push,11,contact_force_log1p_mag,single_slot,3,0.16691447496414186,0.3089863025047707
push,11,contact_force_log1p_mag,single_slot,7,0.27090160846710204,0.32935874669985055
push,11,contact_force_log1p_mag,prefix,0,0.19058971405029296,0.2524157466737858
push,11,contact_force_log1p_mag,prefix,3,-0.5118066191673278,0.667309638546374
push,11,contact_force_log1p_mag,prefix,7,-0.4064897298812866,0.7178950737083118
push,11,contact_force_log1p_mag,reverse,-1,-0.41229536533355715,0.7156803334706869
push,11,contact_force_log1p_mag,random_global_perm,-1,-0.4278274655342102,0.7247727369878181
push,11,contact_force_log1p_mag,random_per_sample,-2,-0.20931588411331176,0.5515854879545544
push,13,ee_acceleration,baseline_full,-1,-1.9502368450164795,0.8547819379185764
push,13,ee_acceleration,mean_over_slots,-1,-0.717345243692398,0.38539855521034877
push,13,ee_acceleration,single_slot,0,-0.45263024866580964,0.17956814181943145
push,13,ee_acceleration,single_slot,3,-0.4252497017383575,0.17384812126275426
push,13,ee_acceleration,single_slot,7,-0.08349093794822693,0.2002021561503431
push,13,ee_acceleration,prefix,0,-0.45262978672981263,0.17937888541311883
push,13,ee_acceleration,prefix,3,-2.532106113433838,1.1822084831540198
push,13,ee_acceleration,prefix,7,-1.9502368450164795,0.8547819379185764
push,13,ee_acceleration,reverse,-1,-1.9608020305633544,0.8779681026500947
push,13,ee_acceleration,random_global_perm,-1,-1.9545606613159179,0.8534511325817967
push,13,ee_acceleration,random_per_sample,-2,-1.8702523469924928,0.3810336142565163
push,13,obj_acceleration,baseline_full,-1,-3.327603840827942,1.3742549129117472
push,13,obj_acceleration,mean_over_slots,-1,-1.170438575744629,0.886471117037457
push,13,obj_acceleration,single_slot,0,-0.7045852780342102,0.5408311813229474
push,13,obj_acceleration,single_slot,3,-0.5971812546253205,0.40657169741078286
push,13,obj_acceleration,single_slot,7,-0.5045683532953262,0.30809654055446467
push,13,obj_acceleration,prefix,0,-0.7047375559806823,0.5406940833339515
push,13,obj_acceleration,prefix,3,-3.3599329233169555,1.7647134665759368
push,13,obj_acceleration,prefix,7,-3.327603840827942,1.3742549129117472
push,13,obj_acceleration,reverse,-1,-3.3417481184005737,1.3622494817252446
push,13,obj_acceleration,random_global_perm,-1,-3.3181466817855836,1.347374935077035
push,13,obj_acceleration,random_per_sample,-2,-2.455850887298584,0.8563909303090812
push,13,contact_flag,baseline_full,-1,0.19185746908187867,0.16913777080481132
push,13,contact_flag,mean_over_slots,-1,0.5575641453266144,0.09727023556116203
push,13,contact_flag,single_slot,0,0.5575231313705444,0.1392187375636235
push,13,contact_flag,single_slot,3,0.546709167957306,0.11965556756445564
push,13,contact_flag,single_slot,7,0.5868202209472656,0.15302305349482942
push,13,contact_flag,prefix,0,0.557628083229065,0.13921622226402658
push,13,contact_flag,prefix,3,0.10139665603637696,0.36416794754607545
push,13,contact_flag,prefix,7,0.19185746908187867,0.16913777080481132
push,13,contact_flag,reverse,-1,0.190566349029541,0.17215401989669102
push,13,contact_flag,random_global_perm,-1,0.19132425785064697,0.17065989477203322
push,13,contact_flag,random_per_sample,-2,0.3083280652761459,0.13316456000995253
push,13,contact_force_log1p_mag,baseline_full,-1,-0.6153419137001037,0.8707958419471821
