task,layer,target,condition_type,condition_value,fold,r2,n_test_windows
push,0,contact_force_log1p_mag,contact,0,2,-0.3875521421432495,2080
push,0,contact_force_log1p_mag,contact,0,3,-2.3750646114349365,2088
push,0,contact_force_log1p_mag,contact,0,4,-0.4223320484161377,2035
push,0,contact_force_log1p_mag,contact,1,0,-0.23271429538726807,674
push,0,contact_force_log1p_mag,contact,1,1,-1.3367469310760498,673
push,0,contact_force_log1p_mag,contact,1,2,-2.1615302562713623,675
push,0,contact_force_log1p_mag,contact,1,3,-1.8400113582611084,673
push,0,contact_force_log1p_mag,contact,1,4,-1.3942222595214844,675
push,0,contact_force_log1p_mag,contact_phase3,pre,0,-0.003910064697265625,626
push,0,contact_force_log1p_mag,contact_phase3,pre,1,0.0,589
push,0,contact_force_log1p_mag,contact_phase3,pre,2,0.0,626
push,0,contact_force_log1p_mag,contact_phase3,pre,3,0.0,589
push,0,contact_force_log1p_mag,contact_phase3,pre,4,0.0,625
push,0,contact_force_log1p_mag,contact_phase3,during,0,-1.1715638637542725,768
push,0,contact_force_log1p_mag,contact_phase3,during,1,-3.4821290969848633,771
push,0,contact_force_log1p_mag,contact_phase3,during,2,-1.2989609241485596,766
push,0,contact_force_log1p_mag,contact_phase3,during,3,-1.0597295761108398,770
push,0,contact_force_log1p_mag,contact_phase3,during,4,-0.8949613571166992,767
push,0,contact_force_log1p_mag,contact_phase3,post,0,-6.431184768676758,1329
push,0,contact_force_log1p_mag,contact_phase3,post,1,-0.21683073043823242,1396
push,0,contact_force_log1p_mag,contact_phase3,post,2,0.0,1338
push,0,contact_force_log1p_mag,contact_phase3,post,3,-4.535264015197754,1358
push,0,contact_force_log1p_mag,contact_phase3,post,4,-6.0068182945251465,1338
push,0,contact_force_log1p_mag,phase,phase=0,0,-0.17674338817596436,1431
push,0,contact_force_log1p_mag,phase,phase=0,1,0.22149914503097534,1431
push,0,contact_force_log1p_mag,phase,phase=0,2,-0.05181992053985596,1431
push,0,contact_force_log1p_mag,phase,phase=0,3,0.047838449478149414,1431
push,0,contact_force_log1p_mag,phase,phase=0,4,-0.08373379707336426,1431
push,0,contact_force_log1p_mag,phase,phase=7,0,1.0,626
push,0,contact_force_log1p_mag,phase,phase=7,1,1.0,674
push,0,contact_force_log1p_mag,phase,phase=7,2,1.0,655
push,0,contact_force_log1p_mag,phase,phase=7,3,1.0,668
push,0,contact_force_log1p_mag,phase,phase=7,4,1.0,668
push,0,contact_force_log1p_mag,phase,phase=5,0,-2.26737904548645,653
push,0,contact_force_log1p_mag,phase,phase=5,1,-5.134096622467041,651
push,0,contact_force_log1p_mag,phase,phase=5,2,-4.480473518371582,650
push,0,contact_force_log1p_mag,phase,phase=5,3,-3.0104455947875977,604
push,0,contact_force_log1p_mag,phase,phase=5,4,-4.223207950592041,652
push,1,ee_position,all,all,0,0.8547301292419434,2760
push,1,ee_position,all,all,1,0.9036068320274353,2760
push,1,ee_position,all,all,2,0.8984912633895874,2760
push,1,ee_position,all,all,3,0.9020817279815674,2760
push,1,ee_position,all,all,4,0.8511149287223816,2616
push,1,ee_position,contact,0,0,0.8817692399024963,2035
push,1,ee_position,contact,0,1,0.8829224109649658,2048
push,1,ee_position,contact,0,2,0.9106110334396362,2080
push,1,ee_position,contact,0,3,0.8729485273361206,2088
push,1,ee_position,contact,0,4,0.8966525197029114,2035
push,1,ee_position,contact,1,0,0.8184550404548645,674
push,1,ee_position,contact,1,1,0.9329349398612976,673
push,1,ee_position,contact,1,2,0.9155586957931519,675
push,1,ee_position,contact,1,3,0.7145835161209106,673
push,1,ee_position,contact,1,4,0.9272313117980957,675
push,1,ee_position,contact_phase3,pre,0,0.8105074763298035,626
push,1,ee_position,contact_phase3,pre,1,0.7428791522979736,589
push,1,ee_position,contact_phase3,pre,2,0.8728340268135071,626
push,1,ee_position,contact_phase3,pre,3,0.841485321521759,589
push,1,ee_position,contact_phase3,pre,4,0.8488877415657043,625
push,1,ee_position,contact_phase3,during,0,0.8814008831977844,768
push,1,ee_position,contact_phase3,during,1,0.9216464161872864,771
push,1,ee_position,contact_phase3,during,2,0.7480472326278687,766
push,1,ee_position,contact_phase3,during,3,0.856158971786499,770
push,1,ee_position,contact_phase3,during,4,0.9264785051345825,767
push,1,ee_position,contact_phase3,post,0,0.8173160552978516,1329
push,1,ee_position,contact_phase3,post,1,0.8152166604995728,1396
push,1,ee_position,contact_phase3,post,2,0.9038509130477905,1338
push,1,ee_position,contact_phase3,post,3,0.8934557437896729,1358
push,1,ee_position,contact_phase3,post,4,0.7989861369132996,1338
push,1,ee_position,phase,phase=0,0,0.884946346282959,1431
push,1,ee_position,phase,phase=0,1,0.8474879860877991,1431
push,1,ee_position,phase,phase=0,2,0.878776490688324,1431
push,1,ee_position,phase,phase=0,3,0.7910926342010498,1431
push,1,ee_position,phase,phase=0,4,0.8669411540031433,1431
push,1,ee_position,phase,phase=7,0,0.031220275908708572,626
push,1,ee_position,phase,phase=7,1,-0.5713501572608948,674
push,1,ee_position,phase,phase=7,2,-0.6874822974205017,655
push,1,ee_position,phase,phase=7,3,-0.5362802743911743,668
push,1,ee_position,phase,phase=7,4,-0.8641104698181152,668
push,1,ee_position,phase,phase=5,0,0.748280942440033,653
push,1,ee_position,phase,phase=5,1,0.9003049731254578,651
push,1,ee_position,phase,phase=5,2,0.864068329334259,650
push,1,ee_position,phase,phase=5,3,0.9154204726219177,604
push,1,ee_position,phase,phase=5,4,0.8897522687911987,652
push,1,ee_velocity,all,all,0,0.15644632279872894,2760
push,1,ee_velocity,all,all,1,0.4611634612083435,2760
push,1,ee_velocity,all,all,2,0.41944414377212524,2760
push,1,ee_velocity,all,all,3,0.6929929852485657,2760
push,1,ee_velocity,all,all,4,0.4911416471004486,2616
push,1,ee_velocity,contact,0,0,0.43476685881614685,2035
push,1,ee_velocity,contact,0,1,0.585924506187439,2048
push,1,ee_velocity,contact,0,2,0.3032349944114685,2080
push,1,ee_velocity,contact,0,3,0.5723954439163208,2088
push,1,ee_velocity,contact,0,4,0.6183373928070068,2035
push,1,ee_velocity,contact,1,0,-0.6962578296661377,674
push,1,ee_velocity,contact,1,1,-0.04769652709364891,673
push,1,ee_velocity,contact,1,2,-0.3743315637111664,675
push,1,ee_velocity,contact,1,3,-0.4044358432292938,673
push,1,ee_velocity,contact,1,4,0.0771508440375328,675
push,1,ee_velocity,contact_phase3,pre,0,-0.4692639112472534,626
push,1,ee_velocity,contact_phase3,pre,1,0.5565162897109985,589
push,1,ee_velocity,contact_phase3,pre,2,0.4915488660335541,626
push,1,ee_velocity,contact_phase3,pre,3,0.31982335448265076,589
push,1,ee_velocity,contact_phase3,pre,4,0.23765946924686432,625
push,1,ee_velocity,contact_phase3,during,0,-0.2852420210838318,768
push,1,ee_velocity,contact_phase3,during,1,0.019232360646128654,771
push,1,ee_velocity,contact_phase3,during,2,-1.1908769607543945,766
push,1,ee_velocity,contact_phase3,during,3,-0.29345983266830444,770
push,1,ee_velocity,contact_phase3,during,4,0.14376519620418549,767
push,1,ee_velocity,contact_phase3,post,0,0.1915540248155594,1329
push,1,ee_velocity,contact_phase3,post,1,0.19911575317382812,1396
push,1,ee_velocity,contact_phase3,post,2,-0.1654404252767563,1338
push,1,ee_velocity,contact_phase3,post,3,0.10045524686574936,1358
push,1,ee_velocity,contact_phase3,post,4,0.10762104392051697,1338
push,1,ee_velocity,phase,phase=0,0,0.3728158473968506,1431
push,1,ee_velocity,phase,phase=0,1,0.34272393584251404,1431
push,1,ee_velocity,phase,phase=0,2,0.4804423153400421,1431
push,1,ee_velocity,phase,phase=0,3,0.3744369149208069,1431
push,1,ee_velocity,phase,phase=0,4,0.28591814637184143,1431
push,1,ee_velocity,phase,phase=7,0,-4.371049404144287,626
push,1,ee_velocity,phase,phase=7,1,-5.845943927764893,674
push,1,ee_velocity,phase,phase=7,2,-2.2550549507141113,655
push,1,ee_velocity,phase,phase=7,3,-4.213155269622803,668
push,1,ee_velocity,phase,phase=7,4,-4.015281677246094,668
push,1,ee_velocity,phase,phase=5,0,-1.8575652837753296,653
push,1,ee_velocity,phase,phase=5,1,-0.2276647686958313,651
push,1,ee_velocity,phase,phase=5,2,-0.6211672425270081,650
push,1,ee_velocity,phase,phase=5,3,0.21032389998435974,604
push,1,ee_velocity,phase,phase=5,4,-0.3116118609905243,652
push,1,ee_acceleration,all,all,0,-1.0127800703048706,2760
push,1,ee_acceleration,all,all,1,-0.6128764748573303,2760
push,1,ee_acceleration,all,all,2,-0.3583841621875763,2760
push,1,ee_acceleration,all,all,3,-0.329698383808136,2760
push,1,ee_acceleration,all,all,4,-0.7107939720153809,2616
push,1,ee_acceleration,contact,0,0,-1.0149387121200562,2035
push,1,ee_acceleration,contact,0,1,-0.587645947933197,2048
push,1,ee_acceleration,contact,0,2,-1.3579530715942383,2080
push,1,ee_acceleration,contact,0,3,-0.6509858965873718,2088
push,1,ee_acceleration,contact,0,4,-0.46094489097595215,2035
push,1,ee_acceleration,contact,1,0,-4.0481343269348145,674
push,1,ee_acceleration,contact,1,1,-5.260672569274902,673
push,1,ee_acceleration,contact,1,2,-2.725506067276001,675
push,1,ee_acceleration,contact,1,3,-2.4231224060058594,673
push,1,ee_acceleration,contact,1,4,-3.6076838970184326,675
push,1,ee_acceleration,contact_phase3,pre,0,-1.7154464721679688,626
push,1,ee_acceleration,contact_phase3,pre,1,-1.9812859296798706,589
push,1,ee_acceleration,contact_phase3,pre,2,-2.6701183319091797,626
push,1,ee_acceleration,contact_phase3,pre,3,-1.925716519355774,589
push,1,ee_acceleration,contact_phase3,pre,4,-1.962358832359314,625
push,1,ee_acceleration,contact_phase3,during,0,-2.9885597229003906,768
push,1,ee_acceleration,contact_phase3,during,1,-3.352473258972168,771
push,1,ee_acceleration,contact_phase3,during,2,-7.342419624328613,766
push,1,ee_acceleration,contact_phase3,during,3,-4.106636047363281,770
push,1,ee_acceleration,contact_phase3,during,4,-3.6075077056884766,767
push,1,ee_acceleration,contact_phase3,post,0,-3.4420325756073,1329
push,1,ee_acceleration,contact_phase3,post,1,-2.2764205932617188,1396
push,1,ee_acceleration,contact_phase3,post,2,-2.910947322845459,1338
push,1,ee_acceleration,contact_phase3,post,3,-2.9671173095703125,1358
push,1,ee_acceleration,contact_phase3,post,4,-2.6352908611297607,1338
push,1,ee_acceleration,phase,phase=0,0,-0.5542699098587036,1431
push,1,ee_acceleration,phase,phase=0,1,-1.6802092790603638,1431
push,1,ee_acceleration,phase,phase=0,2,-1.0422781705856323,1431
push,1,ee_acceleration,phase,phase=0,3,-1.637341856956482,1431
push,1,ee_acceleration,phase,phase=0,4,-1.4818625450134277,1431
push,1,ee_acceleration,phase,phase=7,0,-5.844211578369141,626
push,1,ee_acceleration,phase,phase=7,1,-6.994816780090332,674
push,1,ee_acceleration,phase,phase=7,2,-12.68977165222168,655
push,1,ee_acceleration,phase,phase=7,3,-14.225961685180664,668
push,1,ee_acceleration,phase,phase=7,4,-11.886368751525879,668
push,1,ee_acceleration,phase,phase=5,0,-4.94671106338501,653
push,1,ee_acceleration,phase,phase=5,1,-1.8816920518875122,651
push,1,ee_acceleration,phase,phase=5,2,-1.7641373872756958,650
push,1,ee_acceleration,phase,phase=5,3,-0.7958107590675354,604
push,1,ee_acceleration,phase,phase=5,4,-1.6722767353057861,652
push,1,contact_force_log1p_mag,all,all,0,0.2335605025291443,2760
push,1,contact_force_log1p_mag,all,all,1,0.1358209252357483,2760
push,1,contact_force_log1p_mag,all,all,2,0.40326011180877686,2760
push,1,contact_force_log1p_mag,all,all,3,-0.012172937393188477,2760
push,1,contact_force_log1p_mag,all,all,4,0.3214542865753174,2616
push,1,contact_force_log1p_mag,contact,0,0,-3.015613555908203,2035
push,1,contact_force_log1p_mag,contact,0,1,-0.4964691400527954,2048
push,1,contact_force_log1p_mag,contact,0,2,-0.4816415309906006,2080
push,1,contact_force_log1p_mag,contact,0,3,-3.153620719909668,2088
push,1,contact_force_log1p_mag,contact,0,4,-1.0277001857757568,2035
push,1,contact_force_log1p_mag,contact,1,0,-0.3014824390411377,674
push,1,contact_force_log1p_mag,contact,1,1,-0.26628971099853516,673
push,1,contact_force_log1p_mag,contact,1,2,-1.8244447708129883,675
push,1,contact_force_log1p_mag,contact,1,3,-2.429805278778076,673
push,1,contact_force_log1p_mag,contact,1,4,-0.14394807815551758,675
push,1,contact_force_log1p_mag,contact_phase3,pre,0,-0.003910064697265625,626
push,1,contact_force_log1p_mag,contact_phase3,pre,1,0.0,589
push,1,contact_force_log1p_mag,contact_phase3,pre,2,0.0,626
push,1,contact_force_log1p_mag,contact_phase3,pre,3,0.0,589
push,1,contact_force_log1p_mag,contact_phase3,pre,4,0.0,625
push,1,contact_force_log1p_mag,contact_phase3,during,0,-0.31842219829559326,768
push,1,contact_force_log1p_mag,contact_phase3,during,1,-1.5923702716827393,771
push,1,contact_force_log1p_mag,contact_phase3,during,2,-2.3896656036376953,766
push,1,contact_force_log1p_mag,contact_phase3,during,3,-0.4374438524246216,770
push,1,contact_force_log1p_mag,contact_phase3,during,4,-0.9068129062652588,767
push,1,contact_force_log1p_mag,contact_phase3,post,0,-5.705491065979004,1329
push,1,contact_force_log1p_mag,contact_phase3,post,1,-0.98389732837677,1396
push,1,contact_force_log1p_mag,contact_phase3,post,2,0.0,1338
push,1,contact_force_log1p_mag,contact_phase3,post,3,-9.472664833068848,1358
push,1,contact_force_log1p_mag,contact_phase3,post,4,-5.5377068519592285,1338
push,1,contact_force_log1p_mag,phase,phase=0,0,0.13187271356582642,1431
push,1,contact_force_log1p_mag,phase,phase=0,1,0.05767810344696045,1431
