task,layer,r2_self,r2_persist,r2_self_delta,ee_pos_next,ee_vel_next,ee_acc_next,obj_vel_next
peg_insert,8,0.5933787983868073,0.44246559274319675,0.15091320564361055,0.8916817679693202,0.5736674569806961,0.24271846211108195,0.18027855147291283
peg_insert,9,0.5792992318843483,0.47249397443783814,0.10680525744651015,0.9045505833849231,0.6001548209371974,0.31735854975379507,0.18367529257831128
peg_insert,10,0.5645122197717962,0.43294604835056893,0.13156617142122728,0.9188021202968786,0.5913937261162853,0.3082294649256314,0.18760380819277356
peg_insert,11,0.562057792063835,0.4362527119033559,0.1258050801604791,0.9409884979850114,0.5850655732773882,0.28322791492408417,0.19049517494204038
peg_insert,12,0.5671516917775278,0.42379537099320697,0.1433563207843208,0.9305281400138753,0.5534886530671855,0.2741144549102824,0.16769180713116272
peg_insert,13,0.5704930204594381,0.4388990357690853,0.13159398469035277,0.913344182848818,0.5741882235975955,0.25144284927141636,0.18068138952078072
peg_insert,14,0.5533390981626749,0.429243539510194,0.1240955586524809,0.9232838972159969,0.5815319703223679,0.2913135317183718,0.19302951105165223
peg_insert,15,0.5422456315614363,0.42025988758381927,0.12198574397761708,0.9254011060070995,0.5942317993729409,0.30276018086461054,0.19985442201593984
peg_insert,16,0.5230310972761958,0.39183050687318344,0.13120059040301235,0.9286161625482245,0.5974581768076045,0.2974706071285169,0.20371277293823398
peg_insert,17,0.5339814265338614,0.4054654538031359,0.12851597273072546,0.9326623423932728,0.6026118681718283,0.2997310135793583,0.20874145206864048
peg_insert,18,0.5269599362926243,0.4080014079134724,0.11895852837915188,0.9402173561305248,0.5974163710796379,0.2825179093820176,0.20913824008146142
peg_insert,19,0.5195580452175732,0.39076709950266686,0.12879094571490635,0.938539997433414,0.6156443671760747,0.2978204432277085,0.2074550731882634
peg_insert,20,0.5234528330980466,0.4033954029913168,0.12005743010672976,0.9332117077502434,0.595013007523538,0.29412939283184236,0.19787071766748632
peg_insert,21,0.5331118560488409,0.4226747501652345,0.11043710588360645,0.929995819096525,0.5941534281893155,0.2922806228641537,0.19945150539618828
peg_insert,22,0.5631193124031049,0.4729808342379952,0.09013847816510967,0.9350875437922568,0.5830593641369715,0.2794356277118424,0.1940188096396579
peg_insert,23,0.5808653770574272,0.5100366288849413,0.07082874817248597,0.9322021009178967,0.5879737788450965,0.2505045117776229,0.18599819174881393
nut_thread,0,0.9664687219282608,0.8724313715862161,0.09403735034204475,-0.261185788713413,-0.1585319081339449,-0.03509647542051586,-0.1896126032406953
nut_thread,1,0.8776263831332252,0.8261187855096506,0.0515075976235746,0.3606876360493805,-0.12307591084604508,-0.03817451790645898,-0.13394750169832337
nut_thread,2,0.7116452793096832,0.6393086854369687,0.07233659387271452,0.4091166131535898,-0.0871671179229565,-0.03145202946020742,-0.1395318337026057
nut_thread,3,0.7175329069512468,0.6375248795608759,0.08000802739037094,0.6437319163400163,-0.07548966842376559,-0.03029451388941795,-0.16049992573635996
nut_thread,4,0.48403740859038846,0.3388407894440365,0.14519661914635196,0.7698758242545782,-0.04406349231611473,-0.015495110382849564,-0.12624313115620533
nut_thread,5,0.5274981308329159,0.41135719644458035,0.1161409343883355,0.7770148043793779,-0.06470305685372657,-0.01634338921131162,-0.1364606872016827
nut_thread,6,0.5197620342860566,0.36806841966488635,0.15169361462117026,0.7954460974203614,-0.058841542390042356,-0.02633643517426898,-0.06841427423016078
