task,layer,rsa_vel_tan,rsa_acc_tan,rsa_acc_tan_partial
drawer,16,0.6850230896901186,0.6693458465575673,0.4133685023089544
drawer,17,0.6966982864662128,0.6740607681604781,0.41225246130463844
drawer,18,0.695236508536556,0.6763767841880092,0.4181027290417042
drawer,19,0.6906746652748813,0.6806367892116584,0.4307393745426297
drawer,20,0.6843866994569431,0.6792541667104641,0.43207235086265094
drawer,21,0.6862955459083881,0.6737570105375551,0.4195361478427742
drawer,22,0.686852509376612,0.6667666828350219,0.40605670906560465
drawer,23,0.6817487932120375,0.6583206586173088,0.3940872096203629
peg_insert,0,0.13399178537961556,0.20625453741692737,0.1707315232853579
peg_insert,1,0.14076433593433998,0.19785420769255363,0.16492133716843957
peg_insert,2,0.1580747816180295,0.2122990343430189,0.17540812020347085
peg_insert,3,0.163306935894515,0.21501980712315796,0.17733556821230134
peg_insert,4,0.17878133302560012,0.22995436382430123,0.18829954200031798
peg_insert,5,0.19141847474758722,0.24338585789330738,0.19596455149587894
peg_insert,6,0.18031604324510603,0.22948182748339638,0.18483922043111337
peg_insert,7,0.16243500689365176,0.2152344630985485,0.173521348264412
peg_insert,8,0.14637367583824212,0.1845495102754328,0.1487291552235294
peg_insert,9,0.17280647054982487,0.21158436886667709,0.1687586319246036
peg_insert,10,0.16893697281424275,0.21501299366584894,0.17107768487282582
peg_insert,11,0.15697974925393643,0.19482550587035904,0.15127316046458703
peg_insert,12,0.18883519283818595,0.21363010358529427,0.16240033889142108
peg_insert,13,0.18729891891116565,0.20385859002624077,0.1501193622329705
peg_insert,14,0.18115223215554685,0.19608440773468538,0.14301060422485293
peg_insert,15,0.188283132017528,0.19130626104846196,0.1364385867959607
peg_insert,16,0.17255314129679372,0.1784272988924505,0.12755868265609321
peg_insert,17,0.17409470199472757,0.17786802071248367,0.1273839254347416
peg_insert,18,0.1701618377309462,0.1777805575476521,0.1296708276176913
peg_insert,19,0.16526958156456695,0.17928668302539366,0.13389638676701449
peg_insert,20,0.16476602795307788,0.17356672631944323,0.12977127101096717
peg_insert,21,0.15957803234967158,0.1738307807377249,0.1320363409511414
peg_insert,22,0.14933175949296398,0.16649062838372738,0.12860392053500067
