[08_partial_rsa] push loading ...
[08_partial_rsa] strike L10 acc=0.339 ct=0.017
[08_partial_rsa] strike L11 acc=0.297 ct=0.012
[08_partial_rsa] strike L12 acc=0.317 ct=0.030
[08_partial_rsa] strike L13 acc=0.309 ct=0.013
[08_partial_rsa] strike L14 acc=0.327 ct=0.000
[08_partial_rsa] strike L15 acc=0.348 ct=0.007
[08_partial_rsa] strike L16 acc=0.358 ct=0.007
[08_partial_rsa] strike L17 acc=0.367 ct=0.002
[08_partial_rsa] strike L18 acc=0.382 ct=0.003
[08_partial_rsa] strike L19 acc=0.387 ct=0.001
[08_partial_rsa] strike L20 acc=0.395 ct=0.002
[08_partial_rsa] strike L21 acc=0.406 ct=-0.001
[08_partial_rsa] strike L22 acc=0.420 ct=0.012
[08_partial_rsa] strike L23 acc=0.424 ct=0.015
[08_partial_rsa] reach loading ...
[08_partial_rsa] reach L00 acc=0.237 ct=0.114
[08_partial_rsa] reach L01 acc=0.212 ct=0.129
[08_partial_rsa] reach L02 acc=0.139 ct=0.120
[08_partial_rsa] reach L03 acc=0.160 ct=0.096
[08_partial_rsa] reach L04 acc=0.203 ct=0.094
[08_partial_rsa] reach L05 acc=0.207 ct=0.091
[08_partial_rsa] reach L06 acc=0.220 ct=0.103
[08_partial_rsa] reach L07 acc=0.219 ct=0.095
[08_partial_rsa] reach L08 acc=0.215 ct=0.105
[08_partial_rsa] reach L09 acc=0.226 ct=0.118
[08_partial_rsa] reach L10 acc=0.234 ct=0.112
[08_partial_rsa] reach L11 acc=0.245 ct=0.086
[08_partial_rsa] reach L12 acc=0.249 ct=0.088
[08_partial_rsa] reach L13 acc=0.249 ct=0.084
[08_partial_rsa] reach L14 acc=0.253 ct=0.081
[08_partial_rsa] reach L15 acc=0.257 ct=0.079
[08_partial_rsa] reach L16 acc=0.260 ct=0.081
[08_partial_rsa] reach L17 acc=0.267 ct=0.084
[08_partial_rsa] reach L18 acc=0.274 ct=0.085
[08_partial_rsa] reach L19 acc=0.278 ct=0.089
[08_partial_rsa] reach L20 acc=0.280 ct=0.093
[08_partial_rsa] reach L21 acc=0.282 ct=0.093
[08_partial_rsa] reach L22 acc=0.283 ct=0.093
[08_partial_rsa] reach L23 acc=0.276 ct=0.097
[08_partial_rsa] drawer loading ...
[08_partial_rsa] drawer L00 acc=0.283 ct=0.082
[08_partial_rsa] drawer L01 acc=0.294 ct=0.080
[08_partial_rsa] drawer L02 acc=0.293 ct=0.060
[08_partial_rsa] drawer L03 acc=0.273 ct=0.054
[08_partial_rsa] drawer L04 acc=0.175 ct=0.032
[08_partial_rsa] drawer L05 acc=0.209 ct=0.039
[08_partial_rsa] drawer L06 acc=0.212 ct=0.044
[08_partial_rsa] drawer L07 acc=0.214 ct=0.049
[08_partial_rsa] drawer L08 acc=0.195 ct=0.045
[08_partial_rsa] drawer L09 acc=0.176 ct=0.052
[08_partial_rsa] drawer L10 acc=0.185 ct=0.061
[08_partial_rsa] drawer L11 acc=0.172 ct=0.055
[08_partial_rsa] drawer L12 acc=0.190 ct=0.055
[08_partial_rsa] drawer L13 acc=0.205 ct=0.055
[08_partial_rsa] drawer L14 acc=0.219 ct=0.057
[08_partial_rsa] drawer L15 acc=0.242 ct=0.061
[08_partial_rsa] drawer L16 acc=0.255 ct=0.058
[08_partial_rsa] drawer L17 acc=0.250 ct=0.064
[08_partial_rsa] drawer L18 acc=0.260 ct=0.058
[08_partial_rsa] drawer L19 acc=0.261 ct=0.058
[08_partial_rsa] drawer L20 acc=0.256 ct=0.056
[08_partial_rsa] drawer L21 acc=0.256 ct=0.057
[08_partial_rsa] drawer L22 acc=0.252 ct=0.060
[08_partial_rsa] drawer L23 acc=0.240 ct=0.057
[08_partial_rsa] peg_insert loading ...
[08_partial_rsa] peg_insert L00 acc=0.101 ct=0.124
[08_partial_rsa] peg_insert L01 acc=0.113 ct=0.145
[08_partial_rsa] peg_insert L02 acc=0.131 ct=0.173
[08_partial_rsa] peg_insert L03 acc=0.135 ct=0.188
[08_partial_rsa] peg_insert L04 acc=0.144 ct=0.192
[08_partial_rsa] peg_insert L05 acc=0.164 ct=0.200
[08_partial_rsa] peg_insert L06 acc=0.172 ct=0.202
[08_partial_rsa] peg_insert L07 acc=0.158 ct=0.187
[08_partial_rsa] peg_insert L08 acc=0.136 ct=0.166
[08_partial_rsa] peg_insert L09 acc=0.167 ct=0.204
[08_partial_rsa] peg_insert L10 acc=0.162 ct=0.194
[08_partial_rsa] peg_insert L11 acc=0.151 ct=0.189
[08_partial_rsa] peg_insert L12 acc=0.162 ct=0.206
[08_partial_rsa] peg_insert L13 acc=0.167 ct=0.202
[08_partial_rsa] peg_insert L14 acc=0.160 ct=0.194
[08_partial_rsa] peg_insert L15 acc=0.155 ct=0.193
[08_partial_rsa] peg_insert L16 acc=0.146 ct=0.189
[08_partial_rsa] peg_insert L17 acc=0.154 ct=0.198
[08_partial_rsa] peg_insert L18 acc=0.148 ct=0.191
[08_partial_rsa] peg_insert L19 acc=0.149 ct=0.195
[08_partial_rsa] peg_insert L20 acc=0.163 ct=0.205
[08_partial_rsa] peg_insert L21 acc=0.165 ct=0.202
[08_partial_rsa] peg_insert L22 acc=0.159 ct=0.204
[08_partial_rsa] peg_insert L23 acc=0.159 ct=0.212
[08_partial_rsa] nut_thread loading ...
[08_partial_rsa] nut_thread L00 acc=0.011 ct=0.001
[08_partial_rsa] nut_thread L01 acc=0.012 ct=-0.000
[08_partial_rsa] nut_thread L02 acc=0.008 ct=-0.000
[08_partial_rsa] nut_thread L03 acc=0.013 ct=0.000
[08_partial_rsa] nut_thread L04 acc=0.027 ct=-0.000
[08_partial_rsa] nut_thread L05 acc=0.031 ct=-0.003
[08_partial_rsa] nut_thread L06 acc=0.033 ct=0.005
[08_partial_rsa] nut_thread L07 acc=0.038 ct=-0.002
[08_partial_rsa] nut_thread L08 acc=0.042 ct=0.007
[08_partial_rsa] nut_thread L09 acc=0.051 ct=0.014
[08_partial_rsa] nut_thread L10 acc=0.050 ct=0.013
[08_partial_rsa] nut_thread L11 acc=0.045 ct=0.011
[08_partial_rsa] nut_thread L12 acc=0.062 ct=0.015
[08_partial_rsa] nut_thread L13 acc=0.065 ct=0.016
[08_partial_rsa] nut_thread L14 acc=0.059 ct=0.013
[08_partial_rsa] nut_thread L15 acc=0.064 ct=0.013
[08_partial_rsa] nut_thread L16 acc=0.066 ct=0.010
[08_partial_rsa] nut_thread L17 acc=0.068 ct=0.017
[08_partial_rsa] nut_thread L18 acc=0.073 ct=0.015
[08_partial_rsa] nut_thread L19 acc=0.076 ct=0.007
[08_partial_rsa] nut_thread L20 acc=0.069 ct=0.010
[08_partial_rsa] nut_thread L21 acc=0.072 ct=0.016
[08_partial_rsa] nut_thread L22 acc=0.069 ct=0.013
[08_partial_rsa] nut_thread L23 acc=0.058 ct=0.014
[08_partial_rsa] wrote stats (144 rows)
