family,target,task,variant,model_label,peak_r2,peak_layer
magnitude_obj_velocity,obj_velocity__mean,strike,variant_A_dinov2_large,DINOv2 A,0.7913166403770446,21
magnitude_obj_velocity,obj_velocity__mean,drawer,variant_A,V-JEPA A,,-1
magnitude_obj_velocity,obj_velocity__mean,drawer,variant_B,V-JEPA B,,-1
magnitude_obj_velocity,obj_velocity__mean,drawer,variant_A_videomae_large,VideoMAE A,,-1
magnitude_obj_velocity,obj_velocity__mean,drawer,variant_B_videomae_large,VideoMAE B,,-1
magnitude_obj_velocity,obj_velocity__mean,drawer,variant_A_dinov2_large,DINOv2 A,,-1
magnitude_obj_velocity,obj_velocity__mean,reach,variant_A,V-JEPA A,,-1
magnitude_obj_velocity,obj_velocity__mean,reach,variant_B,V-JEPA B,,-1
magnitude_obj_velocity,obj_velocity__mean,reach,variant_A_videomae_large,VideoMAE A,,-1
magnitude_obj_velocity,obj_velocity__mean,reach,variant_B_videomae_large,VideoMAE B,,-1
magnitude_obj_velocity,obj_velocity__mean,reach,variant_A_dinov2_large,DINOv2 A,,-1
magnitude_obj_velocity,obj_velocity__mean,peg_insert,variant_A,V-JEPA A,,-1
magnitude_obj_velocity,obj_velocity__mean,peg_insert,variant_B,V-JEPA B,,-1
magnitude_obj_velocity,obj_velocity__mean,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
magnitude_obj_velocity,obj_velocity__mean,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
magnitude_obj_velocity,obj_velocity__mean,peg_insert,variant_A_dinov2_large,DINOv2 A,,-1
magnitude_obj_velocity,obj_velocity__mean,nut_thread,variant_A,V-JEPA A,,-1
magnitude_obj_velocity,obj_velocity__mean,nut_thread,variant_B,V-JEPA B,,-1
magnitude_obj_velocity,obj_velocity__mean,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
magnitude_obj_velocity,obj_velocity__mean,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
magnitude_obj_velocity,obj_velocity__mean,nut_thread,variant_A_dinov2_large,DINOv2 A,,-1
contact_occupancy,contact_flag__positive_fraction,push,variant_A,V-JEPA A,0.8670917272567749,21
contact_occupancy,contact_flag__positive_fraction,push,variant_B,V-JEPA B,0.856093966960907,21
contact_occupancy,contact_flag__positive_fraction,push,variant_A_videomae_large,VideoMAE A,0.8386543750762939,18
contact_occupancy,contact_flag__positive_fraction,push,variant_B_videomae_large,VideoMAE B,0.833228874206543,21
contact_occupancy,contact_flag__positive_fraction,push,variant_A_dinov2_large,DINOv2 A,0.819367241859436,21
contact_occupancy,contact_flag__positive_fraction,strike,variant_A,V-JEPA A,0.9513179659843445,23
contact_occupancy,contact_flag__positive_fraction,strike,variant_B,V-JEPA B,0.8174425601959229,3
contact_occupancy,contact_flag__positive_fraction,strike,variant_A_videomae_large,VideoMAE A,,-1
contact_occupancy,contact_flag__positive_fraction,strike,variant_B_videomae_large,VideoMAE B,,-1
contact_occupancy,contact_flag__positive_fraction,strike,variant_A_dinov2_large,DINOv2 A,0.911759102344513,20
contact_occupancy,contact_flag__positive_fraction,drawer,variant_A,V-JEPA A,0.9040351748466492,17
contact_occupancy,contact_flag__positive_fraction,drawer,variant_B,V-JEPA B,0.799979853630066,0
