task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening,videomae_large,2024,10,0.9936337154364789,0.003494786130657459,0.9989368498598059,0.001079812438743202,0.9744572864321608,0.004259808509328538,0.001,0.01,"[0.9882000000000001, 0.9919250000000002, 0.9937, 0.9985101386328628, 0.9958334385495315]","[0.9994802168328087, 0.9999968593162104, 0.9989070420411932, 0.996890669030907, 0.9994094620779101]"
strike,contact_happening,videomae_large,2024,11,0.9944136146814475,0.0031610580285515175,0.9991882589457457,0.000848698034509307,0.9784698492462314,0.006011205582975348,0.005,0.01,"[0.989, 0.99375, 0.995025, 0.9987121537334915, 0.9955809196737456]","[0.9996765095696636, 0.9999984296581051, 0.9990216769995164, 0.997612785694258, 0.9996318928071855]"
strike,contact_happening,videomae_large,2024,12,0.9942282620388374,0.003695059435821498,0.9989603154227972,0.0009169492915044699,0.9764597989949749,0.0037075876124363564,0.001,0.01,"[0.987475, 0.99365, 0.9959, 0.9983838791949698, 0.9957324309992173]","[0.9995995628168165, 0.9997707300833538, 0.9989525819561434, 0.997214916643301, 0.9992637856143709]"
strike,contact_happening,videomae_large,2024,13,0.9943596726092776,0.0036169503906356396,0.999135820722014,0.0012783530803955367,0.9769547738693468,0.0018662879551524494,0.003,0.01,"[0.987825, 0.994025, 0.995125, 0.9987121537334916, 0.9961112093128961]","[0.9996105552100802, 0.9999952889743156, 0.9994770761490193, 0.9966118474125196, 0.9999843358641355]"
strike,contact_happening,videomae_large,2024,14,0.9943400252518877,0.003690653771530034,0.9987222718224509,0.001152376178847333,0.9789623115577889,0.005132136965000991,0.003,0.01,"[0.987525, 0.994175, 0.995, 0.9982828716446555, 0.9967172546147824]","[0.9990012625548834, 0.9999952889743154, 0.9975502666440537, 0.9972102174025417, 0.9998543235364606]"
strike,contact_happening,videomae_large,2024,15,0.994624420721699,0.0031504523087416757,0.998778185225555,0.0014872677536112988,0.9764522613065326,0.005155963782475479,0.005,0.01,"[0.988775, 0.9944000000000001, 0.99525, 0.9976010706800333, 0.9970960329284615]","[0.9998853650416769, 1.0, 0.9963332516755548, 0.9977506300898651, 0.9999216793206778]"
strike,contact_happening,videomae_large,2024,16,0.994805478649529,0.0029805676164766804,0.9992310013147675,0.0010568831809862765,0.9799597989949749,0.0022422339171164147,0.005,0.01,"[0.989625, 0.9944999999999999, 0.994675, 0.9985353905204414, 0.9966920027272039]","[0.9999340456404169, 0.9999827262391567, 0.9990515134955182, 0.9972368464335112, 0.9999498747652338]"
strike,contact_happening,videomae_large,2024,17,0.9948023426176107,0.0030849685206136394,0.9985256866221756,0.0026333574556604137,0.980957286432161,0.0030416479799241793,0.005,0.01,"[0.9899, 0.9939, 0.9940499999999999, 0.9986616499583344, 0.997500063129719]","[0.9999576007688394, 0.9999890076067361, 0.9994174031570153, 0.9932769528869786, 0.9999874686913085]"
strike,contact_happening,videomae_large,2024,18,0.9953219269715412,0.0036578312029957,0.9993700846993334,0.0007836278826992155,0.9839748743718593,0.003365273770259907,0.003,0.01,"[0.989475, 0.9946750000000001, 0.994, 0.9992676952602207, 0.999191939597485]","[0.9991771408471053, 0.9999858669229464, 0.999777011450933, 0.9979198027572012, 0.9999906015184814]"
strike,contact_happening,videomae_large,2024,19,0.9955508186661952,0.003382841008955003,0.9994694104445783,0.0008693983233181028,0.9849748743718593,0.0022080124105359603,0.005,0.01,"[0.9897999999999999, 0.9951249999999999, 0.994925, 0.9994192065856923, 0.9984848867452841]","[0.9996246882871338, 0.999981155897262, 0.9999905779486309, 0.997753762917038, 0.9999968671728271]"
strike,contact_happening,videomae_large,2024,20,0.9962509194212268,0.002528206059535348,0.9993658250365293,0.0007729452134557914,0.9854723618090453,0.0009828457190381554,0.003,0.01,"[0.9922500000000001, 0.99565, 0.9954000000000001, 0.9989899244968561, 0.9989646726092776]","[0.9999952889743156, 0.9999858669229464, 0.9985851219527515, 0.9982691129869784, 0.9999937343456542]"
strike,contact_happening,videomae_large,2024,21,0.9961965239514153,0.002725508562205505,0.9993535563351307,0.0011539769036277155,0.9849698492462313,0.0015815699800923629,0.005,0.01,"[0.992025, 0.99475, 0.99595, 0.9995707179111639, 0.998686901845913]","[0.9999968593162104, 0.9999952889743156, 0.9997251901684034, 0.9970551424574836, 0.9999953007592406]"
strike,contact_happening,videomae_large,2024,22,0.9964067254614782,0.00284045593869713,0.9996267702910739,0.0006391711349267689,0.9834698492462313,0.00298511496271465,0.005,0.01,"[0.9915499999999999, 0.9953250000000001, 0.9967999999999999, 0.9993434509229565, 0.9990151763844348]","[0.9999952889743156, 0.9999952889743156, 0.9997895741860917, 0.9983583985614057, 0.9999953007592406]"
strike,contact_happening,videomae_large,2024,23,0.9965850630034595,0.002112404102056634,0.9995978492877118,0.0006097037125745952,0.982462311557789,0.005253822315515322,0.005,0.01,"[0.9934, 0.995075, 0.9969250000000001, 0.9983838791949697, 0.9991414358223277]","[0.9999921482905259, 0.9999952889743156, 0.9995948517911319, 0.9984179222776907, 0.9999890351048949]"
