task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
nut_thread,16,bolt_static_friction,static,1,-0.010187,0.007358,82500
nut_thread,16,bolt_dynamic_friction,static,1,-0.010187,0.007358,82500
nut_thread,16,ee_velocity,dynamic,3,0.78849,0.003219,82500
nut_thread,16,nut_velocity,dynamic,3,0.483343,0.009897,82500
nut_thread,16,axial_progress,dynamic,1,0.871753,0.009702,82500
nut_thread,16,nut_bolt_relative_angle,dynamic,1,0.339922,0.045085,82500
nut_thread,16,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,16,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,16,phase,dynamic,1,0.0,0.0,82500
nut_thread,17,nut_mass,static,1,-0.022655,0.015221,82500
nut_thread,17,nut_static_friction,static,1,-0.017384,0.00917,82500
nut_thread,17,nut_dynamic_friction,static,1,-0.017384,0.00917,82500
nut_thread,17,bolt_static_friction,static,1,-0.009926,0.006986,82500
nut_thread,17,bolt_dynamic_friction,static,1,-0.009926,0.006986,82500
nut_thread,17,ee_velocity,dynamic,3,0.78604,0.002372,82500
nut_thread,17,nut_velocity,dynamic,3,0.482508,0.009674,82500
nut_thread,17,axial_progress,dynamic,1,0.874643,0.009518,82500
nut_thread,17,nut_bolt_relative_angle,dynamic,1,0.34753,0.044056,82500
nut_thread,17,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,17,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,17,phase,dynamic,1,0.0,0.0,82500
nut_thread,18,nut_mass,static,1,-0.016883,0.014679,82500
nut_thread,18,nut_static_friction,static,1,-0.014912,0.006214,82500
nut_thread,18,nut_dynamic_friction,static,1,-0.014912,0.006214,82500
nut_thread,18,bolt_static_friction,static,1,-0.00796,0.007726,82500
nut_thread,18,bolt_dynamic_friction,static,1,-0.00796,0.007726,82500
nut_thread,18,ee_velocity,dynamic,3,0.796408,0.00222,82500
nut_thread,18,nut_velocity,dynamic,3,0.49168,0.010674,82500
nut_thread,18,axial_progress,dynamic,1,0.881534,0.008793,82500
nut_thread,18,nut_bolt_relative_angle,dynamic,1,0.355232,0.045444,82500
nut_thread,18,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,18,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,18,phase,dynamic,1,0.0,0.0,82500
nut_thread,19,nut_mass,static,1,-0.014272,0.013255,82500
nut_thread,19,nut_static_friction,static,1,-0.012494,0.006416,82500
nut_thread,19,nut_dynamic_friction,static,1,-0.012494,0.006416,82500
nut_thread,19,bolt_static_friction,static,1,-0.006329,0.006663,82500
nut_thread,19,bolt_dynamic_friction,static,1,-0.006329,0.006663,82500
nut_thread,19,ee_velocity,dynamic,3,0.79621,0.002726,82500
nut_thread,19,nut_velocity,dynamic,3,0.491124,0.010692,82500
nut_thread,19,axial_progress,dynamic,1,0.881937,0.008492,82500
nut_thread,19,nut_bolt_relative_angle,dynamic,1,0.361844,0.046448,82500
nut_thread,19,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,19,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,19,phase,dynamic,1,0.0,0.0,82500
nut_thread,20,nut_mass,static,1,-0.012488,0.011632,82500
nut_thread,20,nut_static_friction,static,1,-0.0116,0.006813,82500
nut_thread,20,nut_dynamic_friction,static,1,-0.0116,0.006813,82500
nut_thread,20,bolt_static_friction,static,1,-0.007273,0.006161,82500
nut_thread,20,bolt_dynamic_friction,static,1,-0.007273,0.006161,82500
nut_thread,20,ee_velocity,dynamic,3,0.799462,0.003192,82500
nut_thread,20,nut_velocity,dynamic,3,0.493149,0.011304,82500
nut_thread,20,axial_progress,dynamic,1,0.881391,0.009373,82500
nut_thread,20,nut_bolt_relative_angle,dynamic,1,0.359511,0.042731,82500
nut_thread,20,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,20,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,20,phase,dynamic,1,0.0,0.0,82500
nut_thread,21,nut_mass,static,1,-0.013622,0.008217,82500
nut_thread,21,nut_static_friction,static,1,-0.011751,0.00683,82500
nut_thread,21,nut_dynamic_friction,static,1,-0.011751,0.00683,82500
nut_thread,21,bolt_static_friction,static,1,-0.006741,0.004568,82500
nut_thread,21,bolt_dynamic_friction,static,1,-0.006741,0.004568,82500
nut_thread,21,ee_velocity,dynamic,3,0.797347,0.003472,82500
nut_thread,21,nut_velocity,dynamic,3,0.494289,0.011271,82500
nut_thread,21,axial_progress,dynamic,1,0.878335,0.009114,82500
nut_thread,21,nut_bolt_relative_angle,dynamic,1,0.359965,0.04408,82500
nut_thread,21,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,21,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,21,phase,dynamic,1,0.0,0.0,82500
nut_thread,22,nut_mass,static,1,-0.009833,0.013092,82500
nut_thread,22,nut_static_friction,static,1,-0.012883,0.006142,82500
nut_thread,22,nut_dynamic_friction,static,1,-0.012883,0.006142,82500
nut_thread,22,bolt_static_friction,static,1,-0.005668,0.004625,82500
nut_thread,22,bolt_dynamic_friction,static,1,-0.005668,0.004625,82500
nut_thread,22,ee_velocity,dynamic,3,0.788365,0.003313,82500
nut_thread,22,nut_velocity,dynamic,3,0.487558,0.01126,82500
nut_thread,22,axial_progress,dynamic,1,0.87454,0.009909,82500
nut_thread,22,nut_bolt_relative_angle,dynamic,1,0.358176,0.041182,82500
nut_thread,22,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,22,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,22,phase,dynamic,1,0.0,0.0,82500
nut_thread,23,nut_mass,static,1,-0.008118,0.009541,82500
nut_thread,23,nut_static_friction,static,1,-0.014131,0.006982,82500
nut_thread,23,nut_dynamic_friction,static,1,-0.014131,0.006982,82500
nut_thread,23,bolt_static_friction,static,1,-0.004369,0.00374,82500
nut_thread,23,bolt_dynamic_friction,static,1,-0.004369,0.00374,82500
nut_thread,23,ee_velocity,dynamic,3,0.773023,0.003802,82500
nut_thread,23,nut_velocity,dynamic,3,0.477759,0.011759,82500
nut_thread,23,axial_progress,dynamic,1,0.86922,0.010207,82500
nut_thread,23,nut_bolt_relative_angle,dynamic,1,0.355583,0.041614,82500
nut_thread,23,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,23,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,23,phase,dynamic,1,0.0,0.0,82500
