bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
med,19,contact_flag,0.7325972795486451,0.04002748449320818,867,154903,0.3488,0.4668
med,19,contact_force_log1p_mag,0.7638371109962463,0.05079693020854693,867,154903,0.3488,0.4668
med,20,ee_velocity,0.9577580571174622,0.001811422603627393,867,154903,0.3488,0.4668
med,20,ee_acceleration,0.4818741321563721,0.016074426902641492,867,154903,0.3488,0.4668
med,20,contact_flag,0.7302420735359192,0.038008376216083224,867,154903,0.3488,0.4668
med,20,contact_force_log1p_mag,0.7630112290382385,0.04553208930832283,867,154903,0.3488,0.4668
med,21,ee_velocity,0.9589603662490844,0.0015959704595389884,867,154903,0.3488,0.4668
med,21,ee_acceleration,0.4747702479362488,0.014393232467412085,867,154903,0.3488,0.4668
med,21,contact_flag,0.7358914971351623,0.03521935902263732,867,154903,0.3488,0.4668
med,21,contact_force_log1p_mag,0.7703797221183777,0.044115934574945365,867,154903,0.3488,0.4668
med,22,ee_velocity,0.9619219541549683,0.0019557584715244472,867,154903,0.3488,0.4668
med,22,ee_acceleration,0.4774738848209381,0.015214800467903028,867,154903,0.3488,0.4668
med,22,contact_flag,0.7331040859222412,0.03754349947120869,867,154903,0.3488,0.4668
med,22,contact_force_log1p_mag,0.7664899110794068,0.04751533856180721,867,154903,0.3488,0.4668
med,23,ee_velocity,0.9613055348396301,0.0020896114524336326,867,154903,0.3488,0.4668
med,23,ee_acceleration,0.4751135230064392,0.01638980847967599,867,154903,0.3488,0.4668
med,23,contact_flag,0.7312685489654541,0.03884642436582056,867,154903,0.3488,0.4668
med,23,contact_force_log1p_mag,0.7685175538063049,0.046760797874049194,867,154903,0.3488,0.4668
high,0,ee_velocity,0.4349402904510498,0.010077939841211294,981,175551,0.3488,0.4668
high,0,ee_acceleration,0.09963280558586121,0.007639647449486702,981,175551,0.3488,0.4668
high,0,contact_flag,0.49672884941101075,0.03553562166105811,981,175551,0.3488,0.4668
high,0,contact_force_log1p_mag,0.4612265467643738,0.03267596049509391,981,175551,0.3488,0.4668
high,1,ee_velocity,0.7475386977195739,0.044005058641530974,981,175551,0.3488,0.4668
high,1,ee_acceleration,0.16828390061855317,0.017040370656940227,981,175551,0.3488,0.4668
high,1,contact_flag,0.5908536434173584,0.2639635367581825,981,175551,0.3488,0.4668
high,1,contact_force_log1p_mag,0.5785824418067932,0.27828028664126786,981,175551,0.3488,0.4668
high,2,ee_velocity,0.79534432888031,0.020971202756157086,981,175551,0.3488,0.4668
high,2,ee_acceleration,0.18675751686096193,0.020675011195351367,981,175551,0.3488,0.4668
high,2,contact_flag,0.7553872108459473,0.021941783692476877,981,175551,0.3488,0.4668
high,2,contact_force_log1p_mag,0.7437008023262024,0.027422815157227817,981,175551,0.3488,0.4668
high,3,ee_velocity,0.8318408250808715,0.003929813950901809,981,175551,0.3488,0.4668
high,3,ee_acceleration,0.23780772387981414,0.008192152096460417,981,175551,0.3488,0.4668
high,3,contact_flag,0.7767903089523316,0.02615119539793005,981,175551,0.3488,0.4668
high,3,contact_force_log1p_mag,0.7707717537879943,0.030315961797596352,981,175551,0.3488,0.4668
high,4,ee_velocity,0.8447620749473572,0.0038686696007407878,981,175551,0.3488,0.4668
high,4,ee_acceleration,0.2546438783407211,0.010464584679270923,981,175551,0.3488,0.4668
high,4,contact_flag,0.7945458292961121,0.015595375506492521,981,175551,0.3488,0.4668
high,4,contact_force_log1p_mag,0.7915916204452514,0.020533031495938207,981,175551,0.3488,0.4668
high,5,ee_velocity,0.8793679714202881,0.003572867196579781,981,175551,0.3488,0.4668
high,5,ee_acceleration,0.2750082969665527,0.011443574192394938,981,175551,0.3488,0.4668
high,5,contact_flag,0.809955096244812,0.01804936599835722,981,175551,0.3488,0.4668
high,5,contact_force_log1p_mag,0.8040276050567627,0.021830896727882063,981,175551,0.3488,0.4668
high,6,ee_velocity,0.8962357044219971,0.0022236711506253724,981,175551,0.3488,0.4668
high,6,ee_acceleration,0.3015829861164093,0.010893383566745705,981,175551,0.3488,0.4668
