bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,16,ee_velocity,0.9507957339286804,0.0012070515916792564,1146,204647,0.7843,1.1551
low,16,ee_acceleration,0.5026230037212371,0.008588199579983975,1146,204647,0.7843,1.1551
low,16,contact_flag,0.8094158172607422,0.01590555215972116,1146,204647,0.7843,1.1551
low,16,contact_force_log1p_mag,0.8229809522628784,0.018864575258824474,1146,204647,0.7843,1.1551
low,17,ee_velocity,0.9552188992500306,0.0010128498279432707,1146,204647,0.7843,1.1551
low,17,ee_acceleration,0.5078951835632324,0.00876678227132566,1146,204647,0.7843,1.1551
low,17,contact_flag,0.8132936358451843,0.01750236712391197,1146,204647,0.7843,1.1551
low,17,contact_force_log1p_mag,0.82879718542099,0.019157830284625223,1146,204647,0.7843,1.1551
low,18,ee_velocity,0.9584767460823059,0.0012064721825381067,1146,204647,0.7843,1.1551
low,18,ee_acceleration,0.5083598136901856,0.00783967601439703,1146,204647,0.7843,1.1551
low,18,contact_flag,0.8159665107727051,0.01790915704098102,1146,204647,0.7843,1.1551
low,18,contact_force_log1p_mag,0.8348736643791199,0.018827367661226405,1146,204647,0.7843,1.1551
low,19,ee_velocity,0.9588783740997314,0.001552093384501148,1146,204647,0.7843,1.1551
low,19,ee_acceleration,0.5069196224212646,0.008405253523483956,1146,204647,0.7843,1.1551
low,19,contact_flag,0.8181775808334351,0.01706138559584205,1146,204647,0.7843,1.1551
low,19,contact_force_log1p_mag,0.838324248790741,0.01781274705293831,1146,204647,0.7843,1.1551
low,20,ee_velocity,0.9600994944572449,0.0014642871798028114,1146,204647,0.7843,1.1551
low,20,ee_acceleration,0.49271571040153506,0.008140941334930162,1146,204647,0.7843,1.1551
low,20,contact_flag,0.8182576775550843,0.016451389408249632,1146,204647,0.7843,1.1551
low,20,contact_force_log1p_mag,0.8386978387832642,0.017774454999666976,1146,204647,0.7843,1.1551
low,21,ee_velocity,0.9613403677940369,0.001481648928312196,1146,204647,0.7843,1.1551
low,21,ee_acceleration,0.4851184129714966,0.005760371409383647,1146,204647,0.7843,1.1551
low,21,contact_flag,0.8202252864837647,0.016935952372487368,1146,204647,0.7843,1.1551
low,21,contact_force_log1p_mag,0.8412731409072876,0.017962718238783235,1146,204647,0.7843,1.1551
low,22,ee_velocity,0.9643651723861695,0.0012519785976486245,1146,204647,0.7843,1.1551
