task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,12,surface_static_friction,static,0.034567,0.035773,1500
push,12,surface_dynamic_friction,static,0.140234,0.037858,1500
push,12,ee_velocity,dynamic,0.974863,0.00303,1500
push,12,ee_acceleration,dynamic,0.684851,0.050845,1500
push,12,ee_angular_velocity,dynamic,0.948325,0.011842,1500
push,12,object_velocity,dynamic,0.41309,0.335033,1500
push,12,object_acceleration,dynamic,0.529029,0.040497,1500
push,12,object_angular_velocity,dynamic,0.532341,0.055907,1500
push,12,ee_to_object_distance,dynamic,0.56105,0.016782,1500
push,12,object_to_target_distance,dynamic,0.0,0.0,1500
push,12,object_on_surface,dynamic,0.593934,0.067782,1500
push,12,contact_flag,dynamic,0.0,0.0,1500
push,12,contact_force,dynamic,0.0,0.0,1500
push,12,phase,dynamic,0.0,0.0,1500
push,13,object_0_mass,static,0.120884,0.037303,1500
push,13,object_0_static_friction,static,0.005246,0.020365,1500
push,13,object_0_dynamic_friction,static,0.045268,0.02285,1500
push,13,surface_static_friction,static,0.029312,0.039848,1500
push,13,surface_dynamic_friction,static,0.131676,0.038865,1500
push,13,ee_velocity,dynamic,0.97495,0.003558,1500
push,13,ee_acceleration,dynamic,0.683285,0.043329,1500
push,13,ee_angular_velocity,dynamic,0.942609,0.014758,1500
push,13,object_velocity,dynamic,0.418478,0.327669,1500
push,13,object_acceleration,dynamic,0.518689,0.048397,1500
push,13,object_angular_velocity,dynamic,0.526061,0.051339,1500
push,13,ee_to_object_distance,dynamic,0.582628,0.029928,1500
push,13,object_to_target_distance,dynamic,0.0,0.0,1500
push,13,object_on_surface,dynamic,0.597028,0.067505,1500
push,13,contact_flag,dynamic,0.0,0.0,1500
push,13,contact_force,dynamic,0.0,0.0,1500
push,13,phase,dynamic,0.0,0.0,1500
push,14,object_0_mass,static,0.11079,0.043571,1500
push,14,object_0_static_friction,static,0.00402,0.017387,1500
push,14,object_0_dynamic_friction,static,0.039985,0.040211,1500
push,14,surface_static_friction,static,0.027798,0.038645,1500
push,14,surface_dynamic_friction,static,0.127352,0.035195,1500
push,14,ee_velocity,dynamic,0.973117,0.003196,1500
push,14,ee_acceleration,dynamic,0.67763,0.052521,1500
push,14,ee_angular_velocity,dynamic,0.944486,0.011586,1500
push,14,object_velocity,dynamic,0.383694,0.346372,1500
push,14,object_acceleration,dynamic,0.514016,0.045722,1500
push,14,object_angular_velocity,dynamic,0.525863,0.059835,1500
push,14,ee_to_object_distance,dynamic,0.570592,0.025548,1500
push,14,object_to_target_distance,dynamic,0.0,0.0,1500
push,14,object_on_surface,dynamic,0.615237,0.065245,1500
push,14,contact_flag,dynamic,0.0,0.0,1500
push,14,contact_force,dynamic,0.0,0.0,1500
push,14,phase,dynamic,0.0,0.0,1500
push,15,object_0_mass,static,0.124286,0.050405,1500
push,15,object_0_static_friction,static,0.007722,0.012672,1500
push,15,object_0_dynamic_friction,static,0.035624,0.037578,1500
push,15,surface_static_friction,static,0.040903,0.037346,1500
push,15,surface_dynamic_friction,static,0.135326,0.03924,1500
push,15,ee_velocity,dynamic,0.973561,0.0031,1500
push,15,ee_acceleration,dynamic,0.692874,0.0455,1500
push,15,ee_angular_velocity,dynamic,0.945238,0.013139,1500
push,15,object_velocity,dynamic,0.374837,0.373696,1500
push,15,object_acceleration,dynamic,0.509248,0.053859,1500
push,15,object_angular_velocity,dynamic,0.513644,0.062154,1500
push,15,ee_to_object_distance,dynamic,0.562108,0.021826,1500
push,15,object_to_target_distance,dynamic,0.0,0.0,1500
push,15,object_on_surface,dynamic,0.613123,0.077648,1500
push,15,contact_flag,dynamic,0.0,0.0,1500
push,15,contact_force,dynamic,0.0,0.0,1500
push,15,phase,dynamic,0.0,0.0,1500
push,16,object_0_mass,static,0.119168,0.031984,1500
push,16,object_0_static_friction,static,0.012308,0.016376,1500
push,16,object_0_dynamic_friction,static,0.028609,0.041496,1500
push,16,surface_static_friction,static,0.038601,0.037594,1500
push,16,surface_dynamic_friction,static,0.143971,0.039374,1500
push,16,ee_velocity,dynamic,0.974961,0.002664,1500
push,16,ee_acceleration,dynamic,0.696164,0.047778,1500
push,16,ee_angular_velocity,dynamic,0.947263,0.012059,1500
push,16,object_velocity,dynamic,0.378992,0.383845,1500
push,16,object_acceleration,dynamic,0.510539,0.052101,1500
push,16,object_angular_velocity,dynamic,0.522692,0.060162,1500
push,16,ee_to_object_distance,dynamic,0.581808,0.006585,1500
push,16,object_to_target_distance,dynamic,0.0,0.0,1500
push,16,object_on_surface,dynamic,0.622614,0.067267,1500
push,16,contact_flag,dynamic,0.0,0.0,1500
push,16,contact_force,dynamic,0.0,0.0,1500
push,16,phase,dynamic,0.0,0.0,1500
push,17,object_0_mass,static,0.152915,0.032875,1500
push,17,object_0_static_friction,static,0.011984,0.019664,1500
push,17,object_0_dynamic_friction,static,0.029116,0.03856,1500
push,17,surface_static_friction,static,0.044141,0.038782,1500
push,17,surface_dynamic_friction,static,0.145773,0.036341,1500
push,17,ee_velocity,dynamic,0.976977,0.002901,1500
push,17,ee_acceleration,dynamic,0.716596,0.03621,1500
push,17,ee_angular_velocity,dynamic,0.950256,0.010419,1500
push,17,object_velocity,dynamic,0.359527,0.414488,1500
push,17,object_acceleration,dynamic,0.523879,0.04445,1500
push,17,object_angular_velocity,dynamic,0.520735,0.065158,1500
push,17,ee_to_object_distance,dynamic,0.585986,0.020462,1500
push,17,object_to_target_distance,dynamic,0.0,0.0,1500
push,17,object_on_surface,dynamic,0.642702,0.067567,1500
push,17,contact_flag,dynamic,0.0,0.0,1500
push,17,contact_force,dynamic,0.0,0.0,1500
push,17,phase,dynamic,0.0,0.0,1500
push,18,object_0_mass,static,0.152707,0.03452,1500
push,18,object_0_static_friction,static,0.015642,0.024136,1500
push,18,object_0_dynamic_friction,static,0.017889,0.033849,1500
push,18,surface_static_friction,static,0.034267,0.040899,1500
push,18,surface_dynamic_friction,static,0.138377,0.03833,1500
push,18,ee_velocity,dynamic,0.976641,0.003517,1500
push,18,ee_acceleration,dynamic,0.720433,0.030804,1500
push,18,ee_angular_velocity,dynamic,0.952676,0.007717,1500
push,18,object_velocity,dynamic,0.374679,0.385715,1500
push,18,object_acceleration,dynamic,0.526657,0.053133,1500
push,18,object_angular_velocity,dynamic,0.535141,0.055036,1500
push,18,ee_to_object_distance,dynamic,0.571177,0.0171,1500
push,18,object_to_target_distance,dynamic,0.0,0.0,1500
push,18,object_on_surface,dynamic,0.671729,0.044605,1500
push,18,contact_flag,dynamic,0.0,0.0,1500
push,18,contact_force,dynamic,0.0,0.0,1500
push,18,phase,dynamic,0.0,0.0,1500
push,19,object_0_mass,static,0.142213,0.032086,1500
push,19,object_0_static_friction,static,0.015215,0.016341,1500
push,19,object_0_dynamic_friction,static,0.012339,0.029388,1500
push,19,surface_static_friction,static,0.025222,0.042668,1500
push,19,surface_dynamic_friction,static,0.139603,0.033705,1500
push,19,ee_velocity,dynamic,0.977056,0.002907,1500
push,19,ee_acceleration,dynamic,0.72847,0.030961,1500
push,19,ee_angular_velocity,dynamic,0.952991,0.006066,1500
push,19,object_velocity,dynamic,0.368556,0.371064,1500
push,19,object_acceleration,dynamic,0.524311,0.05266,1500
push,19,object_angular_velocity,dynamic,0.534542,0.04348,1500
push,19,ee_to_object_distance,dynamic,0.563942,0.022733,1500
push,19,object_to_target_distance,dynamic,0.0,0.0,1500
push,19,object_on_surface,dynamic,0.662048,0.048681,1500
push,19,contact_flag,dynamic,0.0,0.0,1500
push,19,contact_force,dynamic,0.0,0.0,1500
push,19,phase,dynamic,0.0,0.0,1500
push,20,object_0_mass,static,0.151784,0.027149,1500
push,20,object_0_static_friction,static,0.015518,0.014573,1500
push,20,object_0_dynamic_friction,static,0.023349,0.026507,1500
push,20,surface_static_friction,static,0.028381,0.040622,1500
push,20,surface_dynamic_friction,static,0.143294,0.03304,1500
push,20,ee_velocity,dynamic,0.977638,0.00254,1500
push,20,ee_acceleration,dynamic,0.741026,0.031223,1500
push,20,ee_angular_velocity,dynamic,0.958448,0.005847,1500
push,20,object_velocity,dynamic,0.346519,0.369175,1500
push,20,object_acceleration,dynamic,0.522395,0.052724,1500
push,20,object_angular_velocity,dynamic,0.532194,0.041565,1500
push,20,ee_to_object_distance,dynamic,0.573545,0.023568,1500
push,20,object_to_target_distance,dynamic,0.0,0.0,1500
push,20,object_on_surface,dynamic,0.663842,0.044554,1500
push,20,contact_flag,dynamic,0.0,0.0,1500
push,20,contact_force,dynamic,0.0,0.0,1500
push,20,phase,dynamic,0.0,0.0,1500
push,21,object_0_mass,static,0.152651,0.030396,1500
push,21,object_0_static_friction,static,0.013,0.012094,1500
push,21,object_0_dynamic_friction,static,0.026779,0.032618,1500
push,21,surface_static_friction,static,0.026156,0.040921,1500
push,21,surface_dynamic_friction,static,0.146271,0.039317,1500
push,21,ee_velocity,dynamic,0.978263,0.002209,1500
