task,target,best_layer,best_r2_mean,best_r2_std,best_mse_mean
strike,ee_speed,16,0.9794101715087892,0.0013391203865838,0.0013824707129969
strike,ee_velocity,22,0.96188063621521,0.0009589401783336,0.0013768260367214
strike,obj_accel_mag,16,0.4781489253044128,0.0473974605866374,1.5697659254074097
strike,obj_acceleration,22,0.2809506952762604,0.0182260108421786,0.7574452042579651
strike,obj_direction,23,0.8032555460929871,0.0071481841301967,0.0260758694261311
strike,obj_position,13,0.2916377782821655,0.0184816798204398,14.767270278930663
strike,obj_speed,16,0.821774137020111,0.0394159500478827,0.0028323799371719
strike,obj_velocity,23,0.73931884765625,0.0238452048516953,0.0016220811521634
reach,ee_accel_mag,14,0.4712382435798645,0.0036342400857882,264.9171173095703
reach,ee_acceleration,19,0.2185274630784988,0.0179411386102979,132.34044036865234
reach,ee_direction,19,0.6377240419387817,0.0119779117956507,0.1122411563992499
reach,ee_position,19,0.9553554058074952,0.0054185206946601,0.0004277551604899
reach,ee_speed,16,0.935051953792572,0.0109002453362878,0.0280089352279901
reach,ee_velocity,17,0.4801930129528046,0.0195249919539588,0.076739190518856
drawer,contact_flag,15,0.7961714029312134,0.0187689344131534,0.0448966942727565
drawer,contact_force,17,0.8525518894195556,0.0046476512939348,333.838525390625
drawer,contact_force_log1p_mag,16,0.8407806754112244,0.0132052358326558,0.6050528764724732
drawer,contact_force_mag,18,0.8764549374580384,0.0079784689676076,735.9619140625
drawer,contact_point,11,0.3097653210163116,0.0116770900222794,21.30506820678711
drawer,ee_accel_mag,18,0.8274204850196838,0.0042337387066291,17.16776123046875
drawer,ee_acceleration,22,0.6099622368812561,0.0116298461177168,19.81360206604004
drawer,ee_direction,21,0.7732235193252563,0.0084121201118844,0.0583105519413947
drawer,ee_position,20,0.9805574774742126,0.007154990384255,4.515933360380586e-05
drawer,ee_speed,19,0.9062186002731324,0.0078186391072657,0.0071429209783672
drawer,ee_velocity,22,0.790370762348175,0.0059191819618247,0.0095165848731994
drawer,obj_accel_mag,18,0.6038360714912414,0.0102694911123718,2.211347341537476
drawer,obj_acceleration,17,0.505853247642517,0.0073196894236505,1.1068259000778198
drawer,obj_direction,6,0.5131704628467559,0.0086633366944287,0.04401141628623
drawer,obj_position,21,0.9899779558181764,0.0031464267127867,2.0331605446699542e-05
drawer,obj_speed,16,0.9362242937088012,0.0117549724136139,0.0030598703306167
drawer,obj_velocity,22,0.9470201134681702,0.0020778308645111,0.0008527464349753
peg_insert,ee_accel_mag,17,0.7679139018058777,0.0027595216620545,0.0006853109342045
peg_insert,ee_acceleration,17,0.5675459384918213,0.0162218272787613,0.0004885902628302
peg_insert,ee_direction,17,0.0966019108891486,0.0030980240834256,0.298073136806488
peg_insert,ee_position,14,0.9759076714515686,0.0004940812986134,2.026884103543125e-05
peg_insert,ee_speed,17,0.9261088013648988,0.0022166646578344,5.535552463697968e-06
