task,layer,param,fold,r2,n_train_eps,n_test_eps
peg_insert,5,peg_dynamic_friction,4,-2.0230050086975098,158,39
peg_insert,5,peg_mass,0,-2.974058151245117,157,40
peg_insert,5,peg_mass,1,-1.5928165912628174,157,40
peg_insert,5,peg_mass,2,-1.7293462753295898,158,39
peg_insert,5,peg_mass,3,-2.2317159175872803,158,39
peg_insert,5,peg_mass,4,-1.3115394115447998,158,39
peg_insert,5,hole_static_friction,0,-1.5716984272003174,157,40
peg_insert,5,hole_static_friction,1,-1.0439200401306152,157,40
peg_insert,5,hole_static_friction,2,-0.8173933029174805,158,39
peg_insert,5,hole_static_friction,3,-0.7447792291641235,158,39
peg_insert,5,hole_static_friction,4,-1.0596611499786377,158,39
peg_insert,5,hole_dynamic_friction,0,-1.5716984272003174,157,40
peg_insert,5,hole_dynamic_friction,1,-1.0439200401306152,157,40
peg_insert,5,hole_dynamic_friction,2,-0.8173933029174805,158,39
peg_insert,5,hole_dynamic_friction,3,-0.7447792291641235,158,39
peg_insert,5,hole_dynamic_friction,4,-1.0596611499786377,158,39
peg_insert,6,peg_static_friction,0,-1.1711010932922363,157,40
peg_insert,6,peg_static_friction,1,-1.3100898265838623,157,40
peg_insert,6,peg_static_friction,2,-1.0494520664215088,158,39
peg_insert,6,peg_static_friction,3,-1.4184751510620117,158,39
peg_insert,6,peg_static_friction,4,-1.8635976314544678,158,39
peg_insert,6,peg_dynamic_friction,0,-1.1711010932922363,157,40
peg_insert,6,peg_dynamic_friction,1,-1.3100898265838623,157,40
peg_insert,6,peg_dynamic_friction,2,-1.0494520664215088,158,39
peg_insert,6,peg_dynamic_friction,3,-1.4184751510620117,158,39
peg_insert,6,peg_dynamic_friction,4,-1.8635976314544678,158,39
peg_insert,6,peg_mass,0,-2.3782060146331787,157,40
peg_insert,6,peg_mass,1,-1.359832763671875,157,40
peg_insert,6,peg_mass,2,-1.3063223361968994,158,39
peg_insert,6,peg_mass,3,-1.8157122135162354,158,39
peg_insert,6,peg_mass,4,-1.0884742736816406,158,39
peg_insert,6,hole_static_friction,0,-1.1998522281646729,157,40
peg_insert,6,hole_static_friction,1,-1.3077008724212646,157,40
peg_insert,6,hole_static_friction,2,-1.0068426132202148,158,39
peg_insert,6,hole_static_friction,3,-0.8477526903152466,158,39
peg_insert,6,hole_static_friction,4,-1.3220503330230713,158,39
peg_insert,6,hole_dynamic_friction,0,-1.1998522281646729,157,40
peg_insert,6,hole_dynamic_friction,1,-1.3077008724212646,157,40
peg_insert,6,hole_dynamic_friction,2,-1.0068426132202148,158,39
peg_insert,6,hole_dynamic_friction,3,-0.8477526903152466,158,39
