task,layer,param,r2_mean,r2_std
peg_insert,11,peg_dynamic_friction,-0.8073455095291138,0.24289983932126763
peg_insert,11,peg_mass,-1.7437762022018433,0.6122134796418583
peg_insert,11,hole_static_friction,-1.0794804573059082,0.21511960005778877
peg_insert,11,hole_dynamic_friction,-1.0794804573059082,0.21511960005778877
peg_insert,12,peg_static_friction,-0.9446520328521728,0.4023769998805214
peg_insert,12,peg_dynamic_friction,-0.9446520328521728,0.4023769998805214
peg_insert,12,peg_mass,-1.6979097127914429,0.4289917939178943
peg_insert,12,hole_static_friction,-1.175612735748291,0.38163756746651745
peg_insert,12,hole_dynamic_friction,-1.175612735748291,0.38163756746651745
peg_insert,13,peg_static_friction,-1.1289763450622559,0.3477007895839517
peg_insert,13,peg_dynamic_friction,-1.1289763450622559,0.3477007895839517
peg_insert,13,peg_mass,-1.3373391151428222,0.3605326658912292
peg_insert,13,hole_static_friction,-1.4747490882873535,0.3357283155813702
peg_insert,13,hole_dynamic_friction,-1.4747490882873535,0.3357283155813702
peg_insert,14,peg_static_friction,-1.5173709869384766,0.38932494088560704
peg_insert,14,peg_dynamic_friction,-1.5173709869384766,0.38932494088560704
peg_insert,14,peg_mass,-1.9277777194976806,0.6846376588029179
peg_insert,14,hole_static_friction,-1.6380335330963134,0.3645545904900855
peg_insert,14,hole_dynamic_friction,-1.6380335330963134,0.3645545904900855
peg_insert,15,peg_static_friction,-1.2167548656463623,0.3728594081588176
peg_insert,15,peg_dynamic_friction,-1.2167548656463623,0.3728594081588176
peg_insert,15,peg_mass,-1.271150803565979,0.3510253663788081
peg_insert,15,hole_static_friction,-0.882249116897583,0.0784670837916414
peg_insert,15,hole_dynamic_friction,-0.882249116897583,0.0784670837916414
peg_insert,16,peg_static_friction,-1.2151492834091187,0.3820103467388678
peg_insert,16,peg_dynamic_friction,-1.2151492834091187,0.3820103467388678
peg_insert,16,peg_mass,-1.5889074802398682,0.43137576283625534
peg_insert,16,hole_static_friction,-0.8823254346847534,0.28355228489586204
peg_insert,16,hole_dynamic_friction,-0.8823254346847534,0.28355228489586204
peg_insert,17,peg_static_friction,-1.2306689500808716,0.49360096716290225
peg_insert,17,peg_dynamic_friction,-1.2306689500808716,0.49360096716290225
peg_insert,17,peg_mass,-1.4146028995513915,0.2886393964824659
peg_insert,17,hole_static_friction,-1.0160707712173462,0.22693929278780786
peg_insert,17,hole_dynamic_friction,-1.0160707712173462,0.22693929278780786
peg_insert,18,peg_static_friction,-1.1172125577926635,0.43867145098223415
peg_insert,18,peg_dynamic_friction,-1.1172125577926635,0.43867145098223415
peg_insert,18,peg_mass,-1.1764725685119628,0.2543272741461669
peg_insert,18,hole_static_friction,-1.3719167709350586,0.16906024601215697
peg_insert,18,hole_dynamic_friction,-1.3719167709350586,0.16906024601215697
peg_insert,19,peg_static_friction,-0.9728224992752075,0.4885356054847045
peg_insert,19,peg_dynamic_friction,-0.9728224992752075,0.4885356054847045
peg_insert,19,peg_mass,-0.7844552278518677,0.22819920816293218
peg_insert,19,hole_static_friction,-1.4968581199645996,0.20485696978782889
peg_insert,19,hole_dynamic_friction,-1.4968581199645996,0.20485696978782889
peg_insert,20,peg_static_friction,-0.8655445814132691,0.3029875194445018
peg_insert,20,peg_dynamic_friction,-0.8655445814132691,0.3029875194445018
peg_insert,20,peg_mass,-0.9520334720611572,0.38838955578441836
peg_insert,20,hole_static_friction,-1.4196277618408204,0.27267213437807203
peg_insert,20,hole_dynamic_friction,-1.4196277618408204,0.27267213437807203
peg_insert,21,peg_static_friction,-0.8700836896896362,0.4571822642751758
peg_insert,21,peg_dynamic_friction,-0.8700836896896362,0.4571822642751758
peg_insert,21,peg_mass,-1.0342661380767821,0.35715546230999806
peg_insert,21,hole_static_friction,-1.201293444633484,0.4675021221079938
peg_insert,21,hole_dynamic_friction,-1.201293444633484,0.4675021221079938
peg_insert,22,peg_static_friction,-1.0500055313110352,0.4869573032356859
peg_insert,22,peg_dynamic_friction,-1.0500055313110352,0.4869573032356859
peg_insert,22,peg_mass,-1.1658698797225953,0.533020096260353
peg_insert,22,hole_static_friction,-1.1688562631607056,0.322780036254007
