task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,6,object_0_mass,static,0.080221,0.02427,1500
push,6,object_0_static_friction,static,0.007616,0.012418,1500
push,6,object_0_dynamic_friction,static,0.043163,0.020474,1500
push,6,surface_static_friction,static,0.043218,0.027778,1500
push,6,surface_dynamic_friction,static,0.11874,0.036751,1500
push,6,ee_velocity,dynamic,0.942791,0.005454,1500
push,6,ee_acceleration,dynamic,0.576174,0.055113,1500
push,6,ee_angular_velocity,dynamic,0.88817,0.024062,1500
push,6,object_velocity,dynamic,0.232767,0.272482,1500
push,6,object_acceleration,dynamic,0.444541,0.043237,1500
push,6,object_angular_velocity,dynamic,0.389279,0.099318,1500
push,6,ee_to_object_distance,dynamic,0.054779,0.00667,1500
push,6,object_to_target_distance,dynamic,0.0,0.0,1500
push,6,object_on_surface,dynamic,0.529249,0.033718,1500
push,6,contact_flag,dynamic,0.0,0.0,1500
push,6,contact_force,dynamic,0.0,0.0,1500
push,6,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,6,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,6,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,6,contact_object_surface_force,dynamic,0.0,0.0,1500
push,6,contact_point,dynamic,0.0,0.0,1500
push,6,phase,dynamic,0.0,0.0,1500
push,6,target_position,dynamic,0.0,0.0,1500
push,7,object_0_mass,static,0.081259,0.024257,1500
push,7,object_0_static_friction,static,0.012521,0.009776,1500
push,7,object_0_dynamic_friction,static,0.03806,0.024185,1500
push,7,surface_static_friction,static,0.043447,0.027118,1500
push,7,surface_dynamic_friction,static,0.124828,0.036449,1500
push,7,ee_velocity,dynamic,0.943937,0.005082,1500
push,7,ee_acceleration,dynamic,0.57648,0.054346,1500
push,7,ee_angular_velocity,dynamic,0.888638,0.02375,1500
push,7,object_velocity,dynamic,0.251607,0.258317,1500
push,7,object_acceleration,dynamic,0.447637,0.044757,1500
push,7,object_angular_velocity,dynamic,0.394637,0.09956,1500
push,7,ee_to_object_distance,dynamic,0.081072,0.006699,1500
push,7,object_to_target_distance,dynamic,0.0,0.0,1500
push,7,object_on_surface,dynamic,0.52597,0.034134,1500
push,7,contact_flag,dynamic,0.0,0.0,1500
push,7,contact_force,dynamic,0.0,0.0,1500
push,7,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,7,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,7,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,7,contact_object_surface_force,dynamic,0.0,0.0,1500
push,7,contact_point,dynamic,0.0,0.0,1500
push,7,phase,dynamic,0.0,0.0,1500
push,7,target_position,dynamic,0.0,0.0,1500
push,8,object_0_mass,static,0.087363,0.025387,1500
push,8,object_0_static_friction,static,0.019134,0.008158,1500
push,8,object_0_dynamic_friction,static,0.043613,0.021129,1500
push,8,surface_static_friction,static,0.044735,0.027509,1500
push,8,surface_dynamic_friction,static,0.129833,0.031575,1500
push,8,ee_velocity,dynamic,0.948242,0.005277,1500
push,8,ee_acceleration,dynamic,0.57169,0.05572,1500
push,8,ee_angular_velocity,dynamic,0.896223,0.022929,1500
push,8,object_velocity,dynamic,0.266005,0.251498,1500
push,8,object_acceleration,dynamic,0.452063,0.04848,1500
push,8,object_angular_velocity,dynamic,0.40814,0.096563,1500
push,8,ee_to_object_distance,dynamic,0.11192,0.006416,1500
push,8,object_to_target_distance,dynamic,0.0,0.0,1500
push,8,object_on_surface,dynamic,0.532073,0.035191,1500
push,8,contact_flag,dynamic,0.0,0.0,1500
push,8,contact_force,dynamic,0.0,0.0,1500
push,8,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,8,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,8,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,8,contact_object_surface_force,dynamic,0.0,0.0,1500
push,8,contact_point,dynamic,0.0,0.0,1500
push,8,phase,dynamic,0.0,0.0,1500
push,8,target_position,dynamic,0.0,0.0,1500
push,9,object_0_mass,static,0.08824,0.029071,1500
push,9,object_0_static_friction,static,0.01286,0.009513,1500
push,9,object_0_dynamic_friction,static,0.043421,0.023451,1500
push,9,surface_static_friction,static,0.04242,0.029837,1500
push,9,surface_dynamic_friction,static,0.128997,0.028362,1500
push,9,ee_velocity,dynamic,0.954104,0.005014,1500
push,9,ee_acceleration,dynamic,0.579586,0.051864,1500
push,9,ee_angular_velocity,dynamic,0.901338,0.02237,1500
push,9,object_velocity,dynamic,0.283927,0.286933,1500
push,9,object_acceleration,dynamic,0.46577,0.049553,1500
push,9,object_angular_velocity,dynamic,0.434296,0.087283,1500
push,9,ee_to_object_distance,dynamic,0.132617,0.008467,1500
push,9,object_to_target_distance,dynamic,0.0,0.0,1500
push,9,object_on_surface,dynamic,0.537683,0.037164,1500
push,9,contact_flag,dynamic,0.0,0.0,1500
push,9,contact_force,dynamic,0.0,0.0,1500
push,9,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,9,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,9,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,9,contact_object_surface_force,dynamic,0.0,0.0,1500
push,9,contact_point,dynamic,0.0,0.0,1500
push,9,phase,dynamic,0.0,0.0,1500
push,9,target_position,dynamic,0.0,0.0,1500
push,10,object_0_mass,static,0.099593,0.029003,1500
push,10,object_0_static_friction,static,0.003735,0.011816,1500
push,10,object_0_dynamic_friction,static,0.038323,0.017597,1500
push,10,surface_static_friction,static,0.036206,0.036045,1500
push,10,surface_dynamic_friction,static,0.126747,0.030832,1500
push,10,ee_velocity,dynamic,0.955774,0.005275,1500
push,10,ee_acceleration,dynamic,0.600729,0.061167,1500
push,10,ee_angular_velocity,dynamic,0.905497,0.021509,1500
push,10,object_velocity,dynamic,0.308357,0.256501,1500
push,10,object_acceleration,dynamic,0.484952,0.047376,1500
push,10,object_angular_velocity,dynamic,0.460847,0.082533,1500
push,10,ee_to_object_distance,dynamic,0.188396,0.017863,1500
push,10,object_to_target_distance,dynamic,0.0,0.0,1500
push,10,object_on_surface,dynamic,0.56207,0.039765,1500
push,10,contact_flag,dynamic,0.0,0.0,1500
push,10,contact_force,dynamic,0.0,0.0,1500
push,10,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,10,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,10,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,10,contact_object_surface_force,dynamic,0.0,0.0,1500
push,10,contact_point,dynamic,0.0,0.0,1500
push,10,phase,dynamic,0.0,0.0,1500
push,10,target_position,dynamic,0.0,0.0,1500
push,11,object_0_mass,static,0.097247,0.027212,1500
push,11,object_0_static_friction,static,0.004197,0.014507,1500
push,11,object_0_dynamic_friction,static,0.036091,0.017394,1500
push,11,surface_static_friction,static,0.033056,0.039012,1500
push,11,surface_dynamic_friction,static,0.122915,0.029533,1500
push,11,ee_velocity,dynamic,0.956158,0.005278,1500
push,11,ee_acceleration,dynamic,0.595063,0.063264,1500
push,11,ee_angular_velocity,dynamic,0.90585,0.022308,1500
push,11,object_velocity,dynamic,0.316209,0.242716,1500
push,11,object_acceleration,dynamic,0.487768,0.050194,1500
push,11,object_angular_velocity,dynamic,0.469697,0.078676,1500
push,11,ee_to_object_distance,dynamic,0.19611,0.015974,1500
push,11,object_to_target_distance,dynamic,0.0,0.0,1500
push,11,object_on_surface,dynamic,0.564003,0.049211,1500
push,11,contact_flag,dynamic,0.0,0.0,1500
push,11,contact_force,dynamic,0.0,0.0,1500
push,11,contact_finger_l_object_flag,dynamic,0.0,0.0,1500
push,11,contact_finger_l_object_force,dynamic,0.0,0.0,1500
push,11,contact_object_surface_flag,dynamic,0.0,0.0,1500
push,11,contact_object_surface_force,dynamic,0.0,0.0,1500
push,11,contact_point,dynamic,0.0,0.0,1500
push,11,phase,dynamic,0.0,0.0,1500
push,11,target_position,dynamic,0.0,0.0,1500
push,12,object_0_mass,static,0.097526,0.027084,1500
push,12,object_0_static_friction,static,0.006978,0.012452,1500
push,12,object_0_dynamic_friction,static,0.039635,0.014615,1500
push,12,surface_static_friction,static,0.034343,0.034883,1500
push,12,surface_dynamic_friction,static,0.126825,0.030217,1500
