task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,giant,ee_direction_3d,28,123,0.8201214405398425,0.025890449043549212,0.9998974506053779,1.6436293104376497e-06,0.0001,0.8,"[0.7911784843707453, 0.8598897232063073, 0.8387603512206392, 0.8140751181930365, 0.7967035257084839]","[0.9998964325798813, 0.9998976193417607, 0.9998988135913217, 0.9998994799181311, 0.999894907595795]",3,1500
push,giant,ee_direction_3d,29,123,0.8203451302480562,0.02870821312562707,0.9997947215807421,6.726760760040446e-05,0.0001,0.8,"[0.7865824773641809, 0.8675724900935627, 0.8369184645094183, 0.8088367995831491, 0.8018154196899705]","[0.999795940050067, 0.9999117792378207, 0.9997093020721894, 0.9998015785064466, 0.9997550080371872]",3,1500
push,giant,ee_direction_3d,30,123,0.8212136968923087,0.022109697057021985,0.9993972222295795,0.0006585636180267584,0.0001,0.8,"[0.802884510342148, 0.8596461985047554, 0.8319331095571535, 0.8103438735072287, 0.8012607925502573]","[0.9982092092967157, 0.9999156588185593, 0.9998334999762458, 0.9998818569759508, 0.9991458860804259]",3,1500
push,giant,ee_direction_3d,31,123,0.8150518791253466,0.024855744087774866,0.9998163513754758,0.0001130009222456024,0.0001,0.8,"[0.7988866511264121, 0.8614598609443902, 0.8206447585629486, 0.7977033129318948, 0.7965648120610871]","[0.999913556749325, 0.9998550311149497, 0.9999218475195552, 0.9996161650139876, 0.9997751564795617]",3,1500
push,giant,ee_direction_3d,32,123,0.8114678179125979,0.023293407590784104,0.9994729716293916,0.0008431648286878498,0.0001,0.8,"[0.7890694261116266, 0.8523143381461699, 0.8211140494003157, 0.7921722237200383, 0.8026690521848387]","[0.9999140542186729, 0.999878652619149, 0.9999117770609472, 0.999873405624314, 0.997786968623875]",3,1500
push,giant,ee_direction_3d,33,123,0.813751435122736,0.021684272346612583,0.9985327482650668,0.0012161180271946456,0.0001,0.8,"[0.7941289891653782, 0.8509331459403833, 0.82472986417908, 0.7942009009458856, 0.8047642753829525]","[0.9981422758652053, 0.9996336008319803, 0.9986754496327475, 0.999786405771479, 0.996426009223922]",3,1500
push,giant,ee_direction_3d,34,123,0.8080099730659063,0.016916193947519274,0.9993308971494683,0.0006788092077747049,0.0001,0.8,"[0.7909592101622174, 0.8376630402753862, 0.8127454269701843, 0.7927066488345729, 0.8059755390871705]","[0.9987161430254246, 0.9998178568816555, 0.999898905466701, 0.9999074487367581, 0.9983141316368027]",3,1500
push,giant,ee_direction_3d,35,123,0.811646511273582,0.02119588428993188,0.9993021893036257,0.0008940691749973473,0.0001,0.8,"[0.7891443423990804, 0.8487019769044252, 0.816932587509404, 0.793296835019093, 0.8101568145359082]","[0.99756013860893, 0.9999187604565869, 0.9999315452006349, 0.9997273664250459, 0.9993731358269312]",3,1500
push,giant,ee_direction_3d,36,123,0.8082009804456398,0.022653941241432954,0.9994900496401723,0.0004657640388905036,0.0001,0.8,"[0.7946976070266377, 0.849384709199614, 0.8102986142278432, 0.7823620937491813, 0.8042618780249233]","[0.9999341915532561, 0.9999329858280849, 0.9995161628491646, 0.9986635992095603, 0.9994033087607959]",3,1500
push,giant,ee_direction_3d,37,123,0.8089743982674547,0.0243751946634862,0.9995235736457593,0.0005563053555096034,0.0001,0.8,"[0.7896715812887871, 0.8524614171628075, 0.8145521342465241, 0.7832991390142832, 0.8048877196248719]","[0.9999384321530209, 0.9992448430558187, 0.9999404976496851, 0.9999437617876129, 0.998550333582659]",3,1500
push,giant,ee_direction_3d,38,123,0.8106725340430845,0.020474059135845987,0.9994905715348479,0.0007728906015926213,0.0001,0.8,"[0.7924589770726382, 0.8470531176233163, 0.8167394752226281, 0.7911324579472712, 0.805978642349569]","[0.9999361503840795, 0.9996793943988173, 0.9999383764394799, 0.9999410553403238, 0.9979578811115392]",3,1500
push,giant,ee_direction_3d,39,123,0.8080891277525974,0.023343376622445674,0.9997376995222925,0.00036985519912820984,0.0001,0.8,"[0.7851701110087091, 0.8491476375649305, 0.8178281925253146, 0.7902751083328369, 0.7980245893311969]","[0.999940950215315, 0.9999264573927034, 0.9999392722559913, 0.9989991945890178, 0.9998826231584348]",3,1500
