task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,dinov2_large,42,13,0.09437179609351296,0.04767211586958421,0.40589432050248125,0.1127036725470956,0.003,0.8,"[0.12275208486160749, 0.08545115909664713, 0.06821735272976537, 0.027820445200279043, 0.16761793857926577]","[0.22150127991337354, 0.5304116848974051, 0.35807593008470284, 0.5141454764491328, 0.40533723116779197]"
strike,contact_force_proxy,dinov2_large,42,14,0.10623748539727026,0.03273334578365304,0.41627675421726557,0.048715329224166784,0.0001,0.8,"[0.11576177346180738, 0.10704429623807721, 0.09607575909247912, 0.05534570510875503, 0.15695989308523262]","[0.3207615495135471, 0.4543107274262118, 0.4467783618705642, 0.4287967881496896, 0.4307363441263151]"
strike,contact_force_proxy,dinov2_large,42,15,0.10204169570836805,0.046128899910120945,0.44250840321129725,0.06211316772186292,0.005,0.8,"[0.09990120225300059, 0.12668138910654925, 0.08319794113855938, 0.03069450594653389, 0.16973344009719715]","[0.48483224400001, 0.502030992257669, 0.49000473494644303, 0.35127727950360754, 0.3843967653487571]"
strike,contact_force_proxy,dinov2_large,42,16,0.1370132474577609,0.07005153909889149,0.3392831424472996,0.11027799425036872,0.0001,0.8,"[0.11234586825099713, 0.14876470919479967, 0.13160658628379396, 0.0375641694761053, 0.2547849040831084]","[0.28460821582305784, 0.4232801387323267, 0.18060734351139518, 0.31117764268700954, 0.49674237148270883]"
strike,contact_force_proxy,dinov2_large,42,17,0.15119818683851402,0.05079110641848176,0.3652462657263834,0.11219872562777342,0.005,0.8,"[0.18462919196305272, 0.15668627952963388, 0.12675334190386045, 0.06963532882094081, 0.21828679197508227]","[0.22128490785615185, 0.42472769914165853, 0.42183715340138694, 0.24673620902096427, 0.5116453592117554]"
strike,contact_force_proxy,dinov2_large,42,18,0.1536704973265142,0.062192197121012004,0.3098561792177604,0.10070305333199107,0.005,0.8,"[0.2385904857691562, 0.15214201430041652, 0.13898136569413921, 0.050218559547295705, 0.1884200613215633]","[0.18765311813946173, 0.4156934184562956, 0.3827613334903338, 0.18762666564647135, 0.37554636035623945]"
strike,contact_force_proxy,dinov2_large,42,19,0.13333074696791244,0.05553514595540761,0.32594480656634794,0.1458440617658118,0.001,0.8,"[0.18067504571693338, 0.14503094341715894, 0.11924398702797478, 0.03393195612287925, 0.1877718025546159]","[0.25807698829079473, 0.490711857768806, 0.5051206871222145, 0.14108044378888962, 0.23473405586103469]"
strike,contact_force_proxy,dinov2_large,42,20,0.14210593859921392,0.06099784823511602,0.3627891930320775,0.05472376594214168,0.0001,0.8,"[0.15753727544266405, 0.16080922520960883, 0.15657113454499239, 0.026631648607631453, 0.2089804091911729]","[0.2676567569611059, 0.3705430663571928, 0.3619836344259114, 0.43830004821177726, 0.37546245920440013]"
strike,contact_force_proxy,dinov2_large,42,21,0.12232518531695047,0.07363538697719552,0.35383025545522206,0.09284689349893151,0.0001,0.8,"[0.15956851182586107, 0.09009568214069741, 0.097973245908614, 0.022666647313479893, 0.24132183939609997]","[0.29081228209423926, 0.3117462148456266, 0.25709682145904167, 0.51653092789847, 0.3929650309787329]"
strike,contact_force_proxy,dinov2_large,42,22,0.1215418335214113,0.05611733216870494,0.3103380601531852,0.1154625283196123,0.0001,0.8,"[0.1600063707836854, 0.1223350220161814, 0.08849974082306011, 0.03733368364864342, 0.19953435033548617]","[0.3821109651014831, 0.3552934694260591, 0.3397075361204571, 0.08244926345958248, 0.39212906665834446]"
strike,contact_force_proxy,dinov2_large,42,23,0.14314712058166565,0.06955572876098463,0.2715165947217827,0.07781693602303072,0.001,0.8,"[0.2009059113043763, 0.13645605409472306, 0.11028658465499097, 0.035140586464683876, 0.23294646638955407]","[0.3840966701396882, 0.23217748291931584, 0.27056083891936555, 0.15339213471858948, 0.3173558469119544]"
